id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC505,20.737943,9.468905,15.10,0.54,1.52,55,,PGC5036,,
IC1685,20.777835,+33.190278,13.00,1.90,,,,,,
NGC498,20.796942,33.489329,16.00,0.32,1.25,140,,PGC5059,,
NGC496,20.798280,33.529283,14.30,0.65,1.56,35,,PGC5061,,
NGC499,20.797898,33.460182,12.30,1.35,1.56,75,,PGC5060,,
IC1687,20.829791,33.277588,14.80,0.47,1.19,0,,PGC5074,,
NGC501,20.843355,33.432962,15.20,0.38,1.09,160,,PGC5082,,
NGC509,20.850475,9.433635,14.70,1.05,2.78,80,,PGC5080,,
NGC504,20.866278,33.204364,14.00,1.08,3.33,45,,PGC5084,,
NGC503,20.868439,33.331833,15.10,0.50,1.31,40,,PGC5086,,
NGC511,20.878037,11.290976,15.40,0.57,1.16,95,,PGC5103,,
NGC507,20.916458,33.256172,13.00,1.46,1.09,85,,PGC5098,,
NGC508,20.919059,33.280690,14.50,0.77,1.11,45,,PGC5099,,
NGC510,20.930000,+33.415833,,0.42,1.48,165,,,,
IC1689,20.949471,33.055299,14.80,0.62,2.08,170,,PGC5108,,
IC1690,20.956399,33.156247,14.90,0.49,1.85,130,,PGC5110,,
NGC526,20.976572,-35.065475,14.60,0.49,1.22,100,,PGC5120,PGC5131,
NGC527,20.992291,-35.115113,14.07,1.18,3.33,15,,PGC5128,,
NGC512,20.998821,33.907829,14.00,1.23,3.58,115,,PGC5132,,
IC1693,21.010011,-1.656992,15.30,0.36,1.85,160,,PGC73940,,
NGC514,21.016236,12.917458,11.65,1.26,1.35,95,,PGC5139,,
NGC516,21.033667,9.551777,14.30,1.01,2.94,45,,PGC5148,,
IC101,21.035604,9.930556,15.10,0.57,1.67,120,,PGC5147,,
NGC518,21.073543,9.330890,14.40,1.34,2.77,95,,PGC5161,,
IC102,21.109754,9.886600,15.60,0.47,1.85,105,,PGC5172,,
NGC513,21.111689,33.799507,13.40,0.67,1.72,70,,PGC5174,,
NGC519,21.119331,-1.641266,15.30,0.39,1.39,130,,PGC5182,,
NGC520,21.146129,3.792411,11.42,3.89,2.51,130,,PGC5193,,
NGC521,21.140721,1.731364,12.50,1.44,1.02,155,,PGC5190,,
IC103,21.151876,2.044267,15.30,0.53,1.28,130,,PGC5192,,
NGC515,21.160439,33.472768,14.30,0.82,1.32,90,,PGC5201,,
IC108,21.162349,-12.635547,15.00,0.72,3.13,5,,PGC5205,,
IC1692,21.164698,33.235757,15.60,0.42,1.52,135,,PGC5203,,
NGC530,21.173595,-1.587105,13.96,1.39,3.85,130,,PGC5210,PGC73947,
NGC517,21.182524,33.429595,13.60,0.97,2.17,25,,PGC5214,,
NGC534,21.185893,-38.129097,14.42,0.62,1.11,85,,PGC5215,,
NGC522,21.191061,9.994623,14.20,1.83,5.00,35,,PGC5218,,
IC105,21.192727,2.075289,11.50,0.38,1.78,50,,PGC5206,,
IC1694,21.198848,1.607639,14.90,0.53,1.43,10,,PGC5221,,
NGC524,21.198929,9.538914,11.50,2.30,1.09,70,,PGC5222,,
IC1696,21.218107,-1.617045,14.70,0.52,1.14,0,,PGC5231,,
NGC525,21.220512,9.703375,14.50,0.80,2.08,10,,PGC5232,,
IC1697,21.262229,0.444367,14.90,0.54,1.61,105,,PGC5238,,
NGC544,21.300089,-38.094465,14.41,0.60,1.28,165,,PGC5253,,
NGC546,21.303394,-38.069159,14.48,0.70,2.27,45,,PGC5255,,
IC109,21.304307,2.066916,14.90,0.51,1.22,80,,PGC5251,,
IC107,21.305238,14.872478,14.92,0.37,1.17,105,,PGC5250,,
NGC532,21.322294,9.264242,13.50,2.13,3.12,30,,PGC5264,,
NGC523,21.336437,34.025158,13.50,1.20,2.63,95,,PGC5268,,
NGC539,21.340564,-18.163878,14.32,0.58,2.00,175,,PGC5269,,
NGC563,21.792092,-18.653304,14.33,0.60,1.09,55,,PGC5417,,
NGC538,21.358596,-1.550620,14.58,0.91,2.27,35,,PGC5275,,
NGC549,21.368673,-38.267478,14.53,1.39,4.54,65,,PGC5278,,
NGC535,21.379753,-1.408217,14.83,0.77,2.78,55,,PGC5282,,
NGC533,21.380865,1.759232,14.11,1.60,1.32,60,,PGC5283,,
NGC528,21.389893,33.671413,13.70,1.02,1.92,55,,PGC5290,,
NGC529,21.417856,34.713016,13.10,1.07,1.35,165,,PGC5299,,
