id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
68 i Vir,201.679861,-12.707663,5.25,K5III,HD116870,HIP65581,
iot02 Mus,201.827071,-74.691756,6.61,B9V,HD116579,HIP65628,
69 Vir,201.863183,-15.973579,4.75,K0III-IIIbCN1.5CH0.5,HD116976,HIP65639,
70 Vir,202.107536,13.778788,4.97,G4Va,HD117176,HIP65721,
71 Vir,202.304169,10.818309,5.65,K0III,HD117304,HIP65790,
K Cen,202.355226,-51.165132,5.03,A1V,HD117150,HIP65810,
R Hya,202.428251,-23.281320,4.97,M6-9e,HD117287,HIP65835,
72 Vir,202.607182,-6.470266,6.10,F0IV,HD117436,HIP65892,
d Cen,202.761069,-39.407305,3.88,G8II/III,HD117440,HIP65936,
74 l Vir,202.991188,-6.255817,4.69,M2.5III,HD117675,HIP66006,
73 Vir,203.011694,-18.728878,6.00,A7IV/V,HD117661,HIP66015,
75 Vir,203.215176,-15.363013,5.53,K1.5IIIb:,HD117789,HIP66091,
76 h Vir,203.241965,-10.164999,5.21,G8III,HD117818,HIP66098,
S Vir,203.250459,-7.194731,9.39,M6-7e,HD117833,,
77 Vir,203.352158,-7.622610,7.02,F3IV,HD117878,HIP66131,
81 UMa,203.530439,55.348435,5.59,A0V,HD118214,HIP66198,
78 o Vir,203.533047,3.658969,4.94,ApEuCrSr,HD118022,HIP66200,
24 CVn,203.613583,49.015972,4.70,A4V,HD118232,HIP66234,
y Vir,203.668542,-13.214325,5.93,A0V,HD118054,HIP66247,
79 zet Vir,203.673297,-0.595816,3.38,A2Van,HD118098,HIP66249,Heze
80 Vir,203.880401,-5.396191,5.71,K0III,HD118219,HIP66320,
25 CVn,204.365116,36.294898,4.82,A7III+A8V:,HD118623,HIP66458,
82 UMa,204.876866,52.921208,5.46,A2Vnp,HD119024,HIP66634,
eps Cen,204.971907,-53.466391,2.30,B1III,HD118716,HIP66657,
1 Boo,205.168622,19.955718,5.76,A1V,HD119055,HIP66727,
83 UMa,205.184472,54.681636,4.66,M2III,HD119228,HIP66738,
kap Oct,205.231181,-85.786042,5.55,A2mA5-A8,HD117374,HIP66753,
2 Boo,205.259777,22.495771,5.58,K0III,HD119126,HIP66763,
82 m Vir,205.403209,-8.702980,5.01,M1+III,HD119149,HIP66803,
Q Cen,205.436551,-54.559424,5.01,B8.5Vn+A2.5Va,HD118991,HIP66821,
T Cen,205.439848,-33.597378,6.05,K5-M4e,HD119090,HIP66825,
84 Vir,205.765466,3.537900,5.42,K2IIIb:CN0.5,HD119425,HIP66936,
83 Vir,206.124278,-16.179073,5.57,G0II:,HD119605,HIP67057,
85 Vir,206.396113,-15.767469,6.18,A0V,HD119786,HIP67139,
1 i Cen,206.421850,-33.043717,4.23,F2V,HD119756,HIP67153,
86 Vir,206.484669,-12.426530,5.51,G8III,HD119853,HIP67172,
84 UMa,206.648570,54.432679,5.67,A0VpSrCrEu,HD120198,HIP67231,
M Cen,206.664080,-51.432757,4.63,G8/K0III,HD119834,HIP67234,
3 Boo,206.680514,25.702237,5.96,A7V:+G5III:,HD120064,HIP67239,
z Cen,206.734799,-36.251933,5.15,A0V,HD119921,HIP67244,
4 tau Boo,206.815576,17.456892,4.49,F7IV-V,HD120136,HIP67275,
87 Vir,206.855797,-17.859838,5.43,M2III,HD120052,HIP67288,
85 eta UMa,206.885157,49.313267,1.86,B3V,HD120315,HIP67301,Alkaid
R CVn,207.237673,39.542548,7.40,M6.5-9e,HD120499,,
2 g Cen,207.361341,-34.450774,4.19,M5-III:,HD120323,HIP67457,
5 ups Boo,207.369339,15.797905,4.07,K5.5III,HD120477,HIP67459,
nu. Cen,207.376152,-41.687709,3.39,B2V,HD120307,HIP67464,
mu. Cen,207.404119,-42.473730,3.43,B2Vnpe,HD120324,HIP67472,
6 e Boo,207.428437,21.264101,4.91,K4III,HD120539,HIP67480,
89 Vir,207.467845,-18.134169,4.96,K0+IIIb,HD120452,HIP67494,
10 i Dra,207.858081,64.723270,4.66,M3.5III,HD121130,HIP67627,
3 k Cen,207.956672,-32.994085,4.56,B5III+B9IV,HD120709,HIP67669,
3 k Cen,207.959167,-32.994676,5.98,B9IV,HD120710,,
N Cen,208.020260,-52.811530,5.26,B8V,HD120642,HIP67703,
4 h Cen,208.302243,-31.927620,4.73,B5IVp,HD120955,HIP67786,
7 Boo,208.303875,17.932869,5.71,G5III,HD121107,HIP67787,
y Cen,208.386502,-35.664256,5.54,F3V,HD120987,HIP67819,
86 UMa,208.462558,53.728676,5.70,A0V,HD121409,HIP67848,
8 eta Boo,208.671162,18.397721,2.68,G0IV,HD121370,HIP67927,Mufrid
90 p Vir,208.675605,-1.503123,5.16,K1/2II/III,HD121299,HIP67929,
zet Cen,208.884940,-47.288375,2.55,B2.5IV,HD121263,HIP68002,
92 Vir,209.116153,1.050581,5.90,A5IV/V,HD121607,HIP68092,
9 Boo,209.142421,27.492081,5.00,K3III,HD121710,HIP68103,
phi Cen,209.567778,-42.100754,3.80,B2IV,HD121743,HIP68245,
47 Hya,209.629777,-24.972252,5.15,B8V,HD121847,HIP68269,
10 Boo,209.662179,21.696200,5.75,A0Vs,HD121996,HIP68276,
ups01 Cen,209.669786,-44.803586,3.87,B2IV-V,HD121790,HIP68282,
48 Hya,210.000503,-25.010405,5.77,F6V,HD122066,HIP68390,
11 Boo,210.293670,27.386596,6.22,A7III,HD122405,HIP68478,
93 tau Vir,210.411640,1.544531,4.24,A2IV/V,HD122408,HIP68520,
ups02 Cen,210.431279,-45.603410,4.33,F7II/III,HD122223,HIP68523,
bet Cen,210.955856,-60.373035,0.58,B1III,HD122451,HIP68702,Hadar
11 alf Dra,211.097323,64.375870,3.68,A0III,HD123299,HIP68756,Thuban
tet Aps,211.332837,-76.796762,5.50,M6.5III:,HD122250,HIP68815,
chi Cen,211.511534,-41.179633,4.34,B2V,HD122980,HIP68862,
94 Vir,211.574044,-8.891620,6.52,A0V,HD123177,HIP68888,
49 pi. Hya,211.592908,-26.682362,3.28,K2-IIIFe-0.5,HD123123,HIP68895,
5 tet Cen,211.670615,-36.369955,2.05,K0-IIIb,HD123139,HIP68933,Menkent
95 Vir,211.678430,-9.313515,5.45,F2III,HD123255,HIP68940,
3 UMi,211.734853,74.593783,6.44,A7V,HD124063,HIP68956,
13 Boo,212.072095,49.458166,5.25,M1.5III,HD123782,HIP69068,
4 UMi,212.212192,77.547510,4.80,K3-IIIbFe-0.5,HD124547,HIP69112,
96 Vir,212.252471,-10.334547,6.46,K0III,HD123630,HIP69127,
12 d Boo,212.599723,25.091677,4.83,F8V,HD123999,HIP69226,
50 Hya,213.191762,-27.261186,5.08,K2III,HD124206,HIP69415,
98 kap Vir,213.223937,-10.273703,4.21,K2.5IIIFe-0.5,HD124294,HIP69427,
17 kap01 Boo,213.365934,51.787951,6.69,F2V,HD124674,HIP69481,
17 kap02 Boo,213.370865,51.789967,4.50,A7IV,HD124675,HIP69483,Asellus Tertius
14 Boo,213.521581,12.959444,5.54,F8V,HD124570,HIP69536,
15 Boo,213.711870,10.100610,5.32,K0III,HD124679,HIP69612,
16 alf Boo,213.915300,19.182409,-0.05,K1.5IIIFe-0.5,HD124897,HIP69673,Arcturus
99 iot Vir,214.003623,-6.000545,4.08,F7III,HD124850,HIP69701,Syrma
21 iot Boo,214.041374,51.367230,4.75,A7V,HD125161,HIP69713,Asellus Secondus
19 lam Boo,214.095910,46.088304,4.18,A0Va_lB,HD125162,HIP69732,
R Cen,214.142997,-59.913693,7.55,M4-6e,HD124601,,
