id,alpha,delta,WISE_GID,Class,diameter,Radius,HIIName,Group
WISE 6723,244.37534,-50.60869,G332.718-00.053,Q,0.83,25,,
WISE 6724,244.36376,-50.57958,G332.733-00.028,Q,0.63,19,,
WISE 6725,243.61537,-50.06653,G332.744+00.674,C,2.40,72,,
WISE 6726,245.02502,-50.96507,G332.762-00.595,K,13.70,411,G332.789-00.564,
WISE 6727,244.37800,-50.54153,G332.766-00.006,C,2.87,86,,
WISE 6728,244.71173,-50.75700,G332.767-00.309,C,1.67,50,,
WISE 6729,244.65912,-50.69584,G332.786-00.242,C,1.67,50,,
WISE 6730,242.42850,-49.14139,G332.815+01.874,?,16.53,496,,
WISE 6731,245.04365,-50.89018,G332.823-00.550,C,1.47,44,,
WISE 6732,245.07498,-50.89595,G332.833-00.569,C,1.47,44,,
WISE 6733,245.05389,-50.87254,G332.840-00.543,C,1.47,44,,
WISE 6734,246.14508,-51.54089,G332.849-01.498,K,16.53,496,G332.783-01.445; RCW104,
WISE 6735,245.11210,-50.87980,G332.861-00.573,C,2.47,74,,
WISE 6736,245.04706,-50.75726,G332.918-00.457,G,7.87,236,,G333.028-00.447
WISE 6737,244.67576,-50.50220,G332.929-00.110,C,0.77,23,,
WISE 6738,245.15422,-50.78022,G332.950-00.521,G,2.93,88,,G333.028-00.447
WISE 6739,244.93226,-50.62951,G332.956-00.316,G,11.87,356,,G333.028-00.447
WISE 6740,242.67279,-49.10521,G332.957+01.793,C,4.83,145,,
WISE 6741,243.75881,-49.84453,G332.964+00.771,K,2.40,72,G332.978+00.792,G332.978+00.792
WISE 6742,245.11433,-50.73061,G332.967-00.468,Q,1.00,30,,G333.028-00.447
WISE 6743,244.69010,-50.44148,G332.978-00.074,C,8.60,258,,
WISE 6744,243.77237,-49.83342,G332.978+00.773,K,7.83,235,G332.978+00.792,G332.978+00.792
WISE 6745,245.10340,-50.69805,G332.985-00.440,Q,0.90,27,,G333.028-00.447
WISE 6746,245.17124,-50.73996,G332.986-00.500,Q,0.73,22,,G333.028-00.447
WISE 6747,245.15678,-50.73073,G332.986-00.488,Q,0.70,21,,G333.028-00.447
WISE 6748,243.64455,-49.73386,G332.987+00.902,C,3.07,92,,
WISE 6749,245.30729,-50.82083,G332.990-00.619,C,5.57,167,,
WISE 6750,245.40684,-50.87678,G332.995-00.703,Q,0.90,27,,
WISE 6751,243.80476,-49.81621,G333.005+00.770,Q,0.67,20,,
WISE 6752,243.85850,-49.84809,G333.008+00.723,Q,0.80,24,,G332.978+00.792
WISE 6753,245.13367,-50.68046,G333.011-00.441,K,4.57,137,G333.028-00.447,G333.028-00.447
WISE 6754,243.82672,-49.81511,G333.016+00.761,G,1.20,36,,G332.978+00.792
WISE 6755,243.85030,-49.83100,G333.016+00.739,Q,0.80,24,,G332.978+00.792
WISE 6756,243.84615,-49.82387,G333.019+00.747,Q,0.80,24,,G332.978+00.792
WISE 6757,244.73848,-50.40007,G333.029-00.066,C,1.27,38,,
WISE 6758,245.30755,-50.74305,G333.045-00.564,Q,1.37,41,,
WISE 6759,243.89241,-49.81744,G333.045+00.731,Q,3.00,90,,G332.978+00.792
WISE 6760,245.20069,-50.66932,G333.049-00.463,Q,0.80,24,,
WISE 6761,244.65565,-50.31325,G333.052+00.033,C,3.93,118,,
WISE 6762,242.82584,-49.07209,G333.053+01.748,C,18.37,551,,
WISE 6763,245.20305,-50.64528,G333.067-00.447,G,0.57,17,,G333.114-00.441
WISE 6764,245.19861,-50.64103,G333.068-00.443,G,0.57,17,,G333.114-00.441
WISE 6765,245.24868,-50.66447,G333.074-00.482,C,5.33,160,,
WISE 6766,245.17983,-50.61199,G333.080-00.413,Q,0.73,22,,
WISE 6767,245.25876,-50.65529,G333.085-00.479,G,1.90,57,,G333.114-00.441
WISE 6768,245.14556,-50.57160,G333.093-00.370,C,1.97,59,,
WISE 6769,242.64430,-48.88521,G333.093+01.966,K,24.63,739,G333.040+02.020; RCW105,
WISE 6770,245.59616,-50.85622,G333.094-00.773,C,6.60,198,,
WISE 6771,245.24770,-50.63406,G333.095-00.460,G,1.73,52,,G333.114-00.441
WISE 6772,245.19338,-50.58233,G333.107-00.398,Q,1.00,30,,G333.114-00.441
WISE 6773,245.31452,-50.65821,G333.108-00.507,G,2.40,72,,G333.114-00.441
WISE 6774,244.91493,-50.39467,G333.113-00.141,C,3.60,108,,
WISE 6775,245.26347,-50.59590,G333.129-00.439,K,3.73,112,G333.114-00.441,G333.114-00.441
WISE 6776,245.21355,-50.55692,G333.134-00.390,Q,1.37,41,,
WISE 6777,245.17377,-50.51016,G333.149-00.338,C,3.70,111,,
WISE 6778,244.92786,-50.33038,G333.164-00.100,Q,0.87,26,,G333.168-00.081
WISE 6779,244.90163,-50.30056,G333.173-00.068,K,9.30,279,G333.168-00.081,G333.168-00.081
WISE 6780,245.33490,-50.54510,G333.197-00.435,Q,0.87,26,,G333.292-00.371
WISE 6781,244.93175,-50.28019,G333.201-00.066,Q,0.97,29,,
WISE 6782,245.30388,-50.50546,G333.211-00.394,G,3.33,100,,G333.292-00.371
WISE 6783,245.20310,-50.43527,G333.215-00.298,G,10.17,305,,G333.292-00.371
WISE 6784,245.33502,-50.50267,G333.227-00.405,Q,0.67,20,,G333.292-00.371
WISE 6785,244.99260,-50.28116,G333.228-00.094,Q,0.97,29,,G333.168-00.081
WISE 6786,245.44506,-50.54729,G333.245-00.487,G,10.73,322,,G333.292-00.371
WISE 6787,244.84825,-50.14896,G333.255+00.065,C,4.00,120,,
WISE 6788,244.88564,-50.15905,G333.265+00.041,Q,0.80,24,,
WISE 6789,245.41618,-50.49778,G333.267-00.439,Q,1.57,47,,G333.292-00.371
WISE 6790,245.36628,-50.43906,G333.286-00.374,Q,0.57,17,,G333.292-00.371
WISE 6791,245.39512,-50.45464,G333.288-00.399,K,2.87,86,G333.292-00.371,G333.292-00.371
WISE 6792,246.05534,-50.85199,G333.301-00.975,C,1.43,43,,
WISE 6793,245.38187,-50.41220,G333.312-00.362,K,2.63,79,G333.292-00.371,G333.292-00.371
WISE 6794,245.37080,-50.40230,G333.314-00.350,Q,0.73,22,,G333.292-00.371
WISE 6795,242.57569,-48.50997,G333.315+02.273,C,4.83,145,,
WISE 6796,245.38966,-50.39736,G333.326-00.355,Q,0.97,29,,G333.292-00.371
WISE 6797,245.15452,-50.22514,G333.341-00.128,C,1.60,48,,
WISE 6798,245.34110,-50.30681,G333.368-00.270,Q,5.93,178,,
WISE 6799,245.27488,-50.25439,G333.375-00.202,Q,1.33,40,,
WISE 6800,242.82932,-48.51903,G333.432+02.152,C,7.17,215,,
WISE 6801,245.32935,-50.15901,G333.467-00.159,C,3.10,93,,
WISE 6802,245.48941,-50.21920,G333.497-00.275,C,3.67,110,,
WISE 6803,245.35043,-50.11449,G333.508-00.138,G,6.77,203,,G333.610-00.208
WISE 6804,245.55903,-50.21563,G333.531-00.303,G,2.83,85,,G333.610-00.208
WISE 6805,245.64984,-50.26926,G333.534-00.383,C,7.93,238,,
WISE 6806,245.49709,-50.13081,G333.563-00.216,G,1.73,52,,G333.610-00.208
WISE 6807,245.61533,-50.19931,G333.568-00.317,Q,0.93,28,,
WISE 6808,245.16543,-49.89990,G333.575+00.098,Q,0.93,28,,
WISE 6809,245.21469,-49.92476,G333.580+00.058,C,9.73,292,,
WISE 6810,245.20817,-49.91202,G333.586+00.071,Q,0.93,28,,
WISE 6811,245.65176,-50.19289,G333.589-00.329,Q,0.63,19,,
WISE 6812,245.39247,-50.02118,G333.593-00.090,K,6.83,205,G333.605-00.095,
WISE 6813,245.61411,-50.16183,G333.594-00.291,G,8.90,267,,G333.610-00.208
WISE 6814,245.31345,-49.95605,G333.603-00.009,Q,2.47,74,,
WISE 6815,245.36068,-49.96530,G333.618-00.037,Q,2.20,66,,
WISE 6816,245.54884,-50.07351,G333.627-00.199,K,9.00,270,G333.610-00.208,G333.610-00.208
WISE 6817,245.84865,-50.22919,G333.652-00.445,Q,1.37,41,,
WISE 6818,245.50911,-49.99009,G333.668-00.122,G,6.63,199,,G333.610-00.208
WISE 6819,245.87608,-50.20576,G333.681-00.441,K,2.17,65,G333.684-00.457,
WISE 6820,245.95723,-50.25424,G333.683-00.512,K,8.00,240,G333.684-00.457,
WISE 6821,245.46183,-49.88756,G333.719-00.027,Q,1.50,45,,
WISE 6822,245.04178,-49.60606,G333.725+00.364,C,3.33,100,,
WISE 6823,245.91985,-50.16034,G333.733-00.429,C,1.97,59,,
WISE 6824,245.73910,-50.01312,G333.756-00.242,Q,1.50,45,,
WISE 6825,245.08121,-49.58640,G333.757+00.360,C,2.03,61,,
WISE 6826,245.69449,-49.88593,G333.826-00.132,Q,1.13,34,,
WISE 6827,245.33660,-49.52616,G333.917+00.286,Q,3.87,116,,
WISE 6828,245.62896,-49.65199,G333.962+00.063,C,2.23,67,,
WISE 6829,245.97309,-49.87092,G333.963-00.249,Q,1.03,31,,
WISE 6830,245.64617,-49.57842,G334.022+00.106,C,3.97,119,,
WISE 6831,245.82144,-49.68692,G334.025-00.051,C,1.70,51,,
WISE 6832,246.07141,-49.83651,G334.032-00.270,C,6.33,190,,
WISE 6833,245.41193,-49.38409,G334.052+00.351,Q,1.10,33,,
WISE 6834,245.73526,-49.51744,G334.106+00.109,C,4.33,130,,
WISE 6835,245.87077,-49.57220,G334.129+00.008,Q,0.70,21,,
WISE 6836,245.97899,-49.59794,G334.160-00.060,Q,0.83,25,,
WISE 6837,245.88229,-49.51630,G334.174+00.042,Q,0.70,21,,
WISE 6838,246.02781,-49.57438,G334.199-00.066,Q,1.83,55,,
WISE 6839,245.74760,-49.39013,G334.202+00.193,C,2.77,83,,
WISE 6840,247.01503,-50.16658,G334.218-00.936,Q,1.53,46,,
WISE 6841,245.90798,-49.46671,G334.221+00.065,K,9.77,293,G334.173+00.068,
WISE 6842,246.22840,-49.57041,G334.293-00.157,C,4.17,125,,
WISE 6843,246.17637,-49.51629,G334.308-00.094,Q,1.83,55,,
WISE 6844,246.14858,-49.47615,G334.324-00.053,Q,1.83,55,,
WISE 6845,246.41183,-49.63908,G334.327-00.290,C,1.63,49,,
WISE 6846,246.05945,-49.39532,G334.341+00.045,C,1.73,52,,
WISE 6847,246.74998,-49.74970,G334.400-00.523,C,2.03,61,,
WISE 6848,246.43819,-49.53703,G334.412-00.230,Q,0.87,26,,
WISE 6849,246.43245,-49.52222,G334.420-00.217,C,1.43,43,,
WISE 6850,246.47212,-49.54452,G334.422-00.251,C,1.67,50,,
WISE 6851,245.84016,-49.13319,G334.427+00.331,C,1.77,53,,
WISE 6852,246.85089,-49.75703,G334.440-00.575,Q,0.60,18,,
WISE 6853,246.77503,-49.70416,G334.444-00.504,C,7.93,238,,
WISE 6854,247.03265,-49.86012,G334.447-00.732,Q,0.80,24,,
WISE 6855,247.16764,-49.92401,G334.461-00.839,C,7.10,213,,
WISE 6856,246.49616,-49.49551,G334.468-00.229,C,7.67,230,,
WISE 6857,245.41582,-48.72297,G334.521+00.818,K,6.73,202,G334.529+00.825,
WISE 6858,246.35701,-49.32765,G334.525-00.047,C,1.63,49,,
WISE 6859,245.28010,-48.61041,G334.537+00.961,Q,1.10,33,,
WISE 6860,246.94709,-49.68089,G334.538-00.568,Q,1.57,47,,
WISE 6861,245.84186,-48.93166,G334.571+00.471,C,10.20,306,,
WISE 6862,247.60663,-50.01302,G334.591-01.105,C,1.67,50,,
WISE 6863,245.95347,-48.89871,G334.646+00.442,C,3.70,111,,
WISE 6864,246.76360,-49.39807,G334.659-00.286,C,3.30,99,,
WISE 6865,246.59034,-49.23440,G334.698-00.090,K,5.23,157,G334.684-00.107,
WISE 6866,247.23737,-49.60753,G334.721-00.653,K,3.50,105,G334.714-00.665,
WISE 6867,246.66655,-49.25060,G334.721-00.137,Q,0.87,26,,
WISE 6868,246.62579,-49.22202,G334.723-00.098,Q,0.87,26,,
WISE 6869,246.16645,-48.89902,G334.744+00.343,C,0.93,28,,
WISE 6870,246.59777,-49.13320,G334.774-00.023,C,4.07,122,,
WISE 6871,246.45992,-48.99657,G334.809+00.136,Q,1.33,40,,
WISE 6872,246.85924,-49.20672,G334.840-00.197,Q,1.40,42,,
WISE 6873,246.57043,-49.02243,G334.841+00.066,C,1.83,55,,
WISE 6874,246.41102,-48.91919,G334.842+00.213,C,1.73,52,,
WISE 6875,246.58974,-49.01800,G334.853+00.060,C,1.13,34,,
WISE 6876,246.51919,-48.89491,G334.909+00.179,C,8.57,257,,
WISE 6877,246.83847,-49.00470,G334.976-00.047,C,1.67,50,,
WISE 6878,246.97458,-49.04897,G335.006-00.143,C,3.10,93,,
WISE 6879,247.01280,-49.06332,G335.013-00.170,Q,0.80,24,,
WISE 6880,247.29462,-49.21198,G335.033-00.406,Q,1.33,40,,
WISE 6881,247.01631,-49.00315,G335.058-00.130,Q,2.73,82,,
WISE 6882,247.43427,-49.18423,G335.116-00.453,Q,1.33,40,,
WISE 6883,247.46250,-49.18657,G335.127-00.469,Q,1.33,40,,
WISE 6884,247.24703,-49.03307,G335.141-00.261,Q,1.80,54,,
WISE 6885,247.25338,-48.99972,G335.168-00.240,C,3.50,105,,
WISE 6886,247.44091,-49.07943,G335.195-00.385,C,1.70,51,,
WISE 6887,247.42606,-49.03158,G335.223-00.345,Q,1.17,35,,
WISE 6888,247.29239,-48.85836,G335.288-00.162,Q,1.80,54,,
WISE 6889,246.70884,-48.43546,G335.326+00.409,C,3.33,100,,
WISE 6890,247.07070,-48.61766,G335.361+00.110,Q,1.27,38,,
WISE 6891,247.18482,-48.63863,G335.398+00.041,Q,1.07,32,,
WISE 6892,246.53079,-48.18411,G335.424+00.670,Q,1.90,57,,
WISE 6893,247.56074,-48.79720,G335.454-00.248,C,2.23,67,,
WISE 6894,247.27430,-48.59694,G335.469+00.027,C,3.47,104,,
WISE 6895,247.49096,-48.69164,G335.499-00.142,C,11.83,355,,
WISE 6896,247.61582,-48.75445,G335.510-00.244,Q,1.13,34,,
WISE 6897,247.64796,-48.67957,G335.579-00.209,C,2.60,78,,
WISE 6898,248.34564,-49.07320,G335.605-00.813,C,12.20,366,,
WISE 6899,248.43812,-49.01214,G335.691-00.815,Q,1.93,58,,
WISE 6900,247.40673,-48.37125,G335.693+00.119,K,10.67,320,G335.751+00.110,
WISE 6901,247.77482,-48.52641,G335.748-00.165,K,10.00,300,G335.748-00.134,
WISE 6902,247.47422,-48.27459,G335.794+00.153,K,27.33,820,G335.751+00.110,
WISE 6903,247.76422,-48.24789,G335.946+00.032,Q,1.30,39,,
WISE 6904,247.62148,-48.11415,G335.978+00.193,K,1.90,57,G335.978+00.185,
WISE 6905,247.74322,-48.18252,G335.984+00.086,Q,1.30,39,,
WISE 6906,247.60775,-48.09036,G335.989+00.216,Q,1.30,39,,
WISE 6907,248.78426,-48.76637,G336.026-00.817,C,2.83,85,,
WISE 6908,248.02408,-48.21830,G336.086-00.074,C,2.97,89,,
WISE 6909,247.94883,-48.15629,G336.097+00.005,C,7.30,219,,
WISE 6910,247.76564,-48.02219,G336.111+00.186,Q,1.30,39,,
WISE 6911,247.69316,-47.96139,G336.122+00.262,C,2.57,77,,
WISE 6912,247.84353,-47.94630,G336.202+00.199,Q,1.30,39,,
WISE 6913,247.64265,-47.81806,G336.203+00.385,C,5.07,152,,
WISE 6914,247.91119,-47.96963,G336.216+00.151,Q,1.30,39,,
WISE 6915,248.25892,-48.14416,G336.247-00.138,Q,0.53,16,,
WISE 6916,249.64970,-48.91816,G336.295-01.341,?,3.97,119,,
WISE 6917,249.53748,-48.82373,G336.317-01.223,?,12.33,370,,
WISE 6918,248.37088,-48.06211,G336.358-00.137,K,3.50,105,G336.375-00.131,
WISE 6919,249.58200,-48.78959,G336.362-01.221,?,2.97,89,,
WISE 6920,248.23321,-47.96436,G336.367-00.003,C,1.13,34,,
WISE 6921,247.85366,-47.66736,G336.410+00.385,C,20.87,626,,
WISE 6922,248.55453,-48.10469,G336.410-00.257,C,0.73,22,,
WISE 6923,248.55494,-48.09407,G336.418-00.249,K,3.50,105,G336.404-00.234,
WISE 6924,248.52615,-48.03823,G336.446-00.198,K,20.77,623,G336.404-00.234,
WISE 6925,248.27232,-47.86858,G336.455+00.042,K,6.57,197,G336.456+00.038,
WISE 6926,248.64714,-48.04341,G336.497-00.261,Q,0.97,29,,
WISE 6927,250.02902,-48.84722,G336.515-01.479,K,5.40,162,G336.514-01.477; RCW108,G336.514-01.477; RCW108
WISE 6928,248.25326,-47.77070,G336.518+00.119,C,6.20,186,,
WISE 6929,248.62035,-47.96984,G336.539-00.198,K,3.50,105,G336.489-00.154,
WISE 6930,249.99942,-48.78181,G336.551-01.422,?,1.63,49,,G336.514-01.477; RCW108
WISE 6931,250.43746,-49.02529,G336.559-01.798,?,16.73,502,,G336.514-01.477; RCW108
WISE 6932,248.43018,-47.78955,G336.585+00.019,C,4.40,132,,
WISE 6933,248.64557,-47.83184,G336.652-00.117,Q,3.17,95,,
WISE 6934,248.64890,-47.78362,G336.689-00.085,Q,0.77,23,,
WISE 6935,248.66489,-47.78671,G336.694-00.095,Q,0.77,23,,
WISE 6936,248.65012,-47.76943,G336.700-00.076,Q,0.93,28,,
WISE 6937,248.67834,-47.78279,G336.703-00.099,Q,0.53,16,,
WISE 6938,248.51447,-47.61323,G336.753+00.097,K,13.67,410,G336.732+00.072,G336.732+00.072
WISE 6939,248.36762,-47.50388,G336.766+00.243,Q,1.67,50,,
WISE 6940,250.58554,-48.80492,G336.789-01.726,?,51.33,1540,,G336.514-01.477; RCW108
WISE 6941,248.17575,-47.32187,G336.811+00.462,Q,1.23,37,,
WISE 6942,249.00002,-47.81924,G336.822-00.283,Q,1.67,50,,
WISE 6943,248.74145,-47.61679,G336.854-00.018,G,4.87,146,,G336.732+00.072
WISE 6944,249.15161,-47.84558,G336.871-00.377,Q,1.67,50,,
WISE 6945,248.58917,-47.49513,G336.874+00.139,G,4.77,143,,G336.732+00.072
WISE 6946,248.74576,-47.58552,G336.879+00.000,Q,1.03,31,,
WISE 6947,248.26186,-47.27376,G336.886+00.452,C,3.50,105,,
WISE 6948,248.69256,-47.54034,G336.888+00.057,G,3.50,105,,G336.732+00.072
WISE 6949,248.80396,-47.59302,G336.900-00.033,Q,0.87,26,,
WISE 6950,248.93417,-47.67192,G336.901-00.151,Q,0.97,29,,
WISE 6951,248.81023,-47.57656,G336.915-00.026,Q,0.70,21,,
WISE 6952,248.99169,-47.68289,G336.919-00.188,K,6.37,191,G336.934-00.146,
WISE 6953,248.72225,-47.51260,G336.922+00.062,G,2.97,89,,G336.732+00.072
WISE 6954,248.85006,-47.52795,G336.969-00.013,Q,0.57,17,,
WISE 6955,248.89369,-47.55353,G336.970-00.051,Q,1.10,33,,
WISE 6956,248.85359,-47.51793,G336.978-00.007,C,0.37,11,,
WISE 6957,249.05229,-47.63214,G336.984-00.183,C,1.50,45,,
WISE 6958,248.85940,-47.51068,G336.986-00.006,C,0.57,17,,
WISE 6959,248.73488,-47.43084,G336.988+00.111,Q,0.90,27,,
WISE 6960,248.88088,-47.51853,G336.990-00.021,C,0.93,28,,
WISE 6961,248.89143,-47.51962,G336.994-00.028,C,0.57,17,,
WISE 6962,248.90061,-47.51580,G337.001-00.030,Q,0.73,22,,
WISE 6963,248.52169,-47.27618,G337.004+00.322,C,1.77,53,,
WISE 6964,250.16182,-48.26535,G337.009-01.159,?,2.23,67,,
WISE 6965,248.91494,-47.46370,G337.046-00.001,Q,0.90,27,,
WISE 6966,248.88110,-47.44278,G337.046+00.030,Q,0.77,23,,
WISE 6967,250.02449,-48.07467,G337.091-00.965,C,5.30,159,,
WISE 6968,249.01276,-47.45500,G337.097-00.045,Q,1.10,33,,
WISE 6969,250.14257,-48.11383,G337.113-01.049,?,3.47,104,,
WISE 6970,249.18448,-47.52806,G337.120-00.180,K,4.90,147,G337.147-00.181,
WISE 6971,248.99569,-47.38900,G337.138+00.008,Q,1.10,33,,
WISE 6972,249.10071,-47.41044,G337.170-00.059,C,1.17,35,,
WISE 6973,249.11204,-47.40795,G337.177-00.062,Q,0.93,28,,
WISE 6974,249.11969,-47.39779,G337.188-00.060,Q,0.93,28,,
WISE 6975,249.12664,-47.39261,G337.195-00.060,Q,0.93,28,,
WISE 6976,248.85781,-47.16815,G337.238+00.227,Q,0.90,27,,
WISE 6977,249.30024,-47.42083,G337.253-00.165,C,1.97,59,,
WISE 6978,249.28964,-47.40491,G337.260-00.150,Q,0.43,13,,
WISE 6979,249.17085,-47.30905,G337.277-00.025,Q,1.07,32,,
WISE 6980,249.32580,-47.39872,G337.281-00.163,Q,1.00,30,,
WISE 6981,249.57607,-47.54710,G337.284-00.389,Q,0.63,19,,
WISE 6982,249.27499,-47.36221,G337.285-00.113,C,1.90,57,,
WISE 6983,249.02932,-47.20956,G337.286+00.113,C,3.50,105,,
WISE 6984,249.60612,-47.54246,G337.301-00.400,Q,0.73,22,,
WISE 6985,249.32447,-47.36691,G337.304-00.142,C,2.83,85,,
WISE 6986,249.40343,-47.40171,G337.314-00.205,Q,0.80,24,,
WISE 6987,249.13528,-47.21960,G337.327+00.053,Q,1.90,57,,
WISE 6988,249.17770,-47.24440,G337.328+00.015,Q,0.67,20,,
WISE 6989,249.62648,-47.49569,G337.345-00.380,Q,0.73,22,,
WISE 6990,249.67356,-47.49466,G337.367-00.402,Q,0.73,22,,
WISE 6991,249.16959,-47.17458,G337.376+00.066,Q,0.67,20,,
WISE 6992,249.66911,-47.47854,G337.377-00.389,Q,0.73,22,,
WISE 6993,249.69714,-47.47537,G337.392-00.401,Q,0.73,22,,
WISE 6994,249.60682,-47.40719,G337.402-00.310,Q,0.73,22,,
WISE 6995,249.71229,-47.46843,G337.404-00.404,C,1.27,38,,
WISE 6996,249.71687,-47.46047,G337.412-00.401,Q,0.73,22,,
WISE 6997,249.24300,-47.16718,G337.415+00.034,Q,0.57,17,,
WISE 6998,249.73154,-47.44788,G337.428-00.401,C,1.93,58,,
WISE 6999,249.21480,-47.12282,G337.435+00.077,Q,0.47,14,,
WISE 7000,249.73908,-47.43768,G337.439-00.397,Q,0.73,22,,
WISE 7001,249.71542,-47.40457,G337.453-00.363,C,3.17,95,,
WISE 7002,250.50358,-47.84703,G337.474-01.054,?,5.60,168,,
WISE 7003,249.93647,-47.49239,G337.487-00.534,C,2.77,83,,
WISE 7004,249.64122,-47.30182,G337.496-00.258,K,11.17,335,G337.548-00.304,
WISE 7005,249.97395,-47.47745,G337.515-00.543,Q,4.53,136,,
WISE 7006,249.83121,-47.37538,G337.527-00.402,Q,1.67,50,,
WISE 7007,250.16610,-47.53908,G337.555-00.680,Q,1.33,40,,
WISE 7008,250.63666,-47.78440,G337.580-01.081,?,2.87,86,,
WISE 7009,249.49249,-47.09409,G337.583-00.044,C,3.17,95,,
WISE 7010,249.52187,-47.11074,G337.584-00.069,Q,0.87,26,,
WISE 7011,249.34974,-46.99291,G337.593+00.096,Q,0.73,22,,
WISE 7012,249.85835,-47.30067,G337.595-00.366,Q,1.03,31,,
WISE 7013,249.52141,-47.07818,G337.608-00.047,Q,0.97,29,,
WISE 7014,249.54881,-47.08285,G337.617-00.065,Q,1.63,49,,
WISE 7015,249.56787,-47.04746,G337.652-00.050,K,6.57,197,G337.665-00.048,
WISE 7016,249.71101,-47.13350,G337.653-00.180,Q,0.63,19,,
WISE 7017,249.69510,-47.11711,G337.658-00.162,C,3.10,93,,
WISE 7018,249.72116,-47.13029,G337.660-00.183,Q,0.63,19,,
WISE 7019,249.47168,-46.97234,G337.664+00.049,C,3.40,102,,
WISE 7020,249.71839,-47.12189,G337.665-00.176,C,0.63,19,,
WISE 7021,249.74508,-47.13009,G337.671-00.195,Q,0.63,19,,
WISE 7022,249.91918,-47.21825,G337.684-00.343,C,5.40,162,,
WISE 7023,249.63174,-47.02741,G337.696-00.070,Q,0.93,28,,
WISE 7024,249.62854,-47.01337,G337.705-00.059,C,2.23,67,,
WISE 7025,249.47008,-46.91079,G337.709+00.091,C,2.27,68,,
WISE 7026,249.55113,-46.90008,G337.754+00.057,C,6.77,203,,
WISE 7027,250.19760,-47.25227,G337.784-00.507,Q,1.03,31,,
WISE 7028,249.62356,-46.84643,G337.827+00.056,C,4.50,135,,
WISE 7029,250.10637,-47.11863,G337.843-00.372,C,2.33,70,,
WISE 7030,249.87643,-46.93521,G337.876-00.133,Q,4.57,137,,
WISE 7031,249.63426,-46.78584,G337.877+00.091,Q,0.90,27,,
WISE 7032,249.94770,-46.91963,G337.920-00.158,Q,1.17,35,,
WISE 7033,250.28345,-47.11970,G337.922-00.463,K,3.60,108,G337.949-00.476,
WISE 7034,249.92620,-46.89853,G337.926-00.133,Q,0.53,16,,
WISE 7035,249.39812,-46.56074,G337.936+00.361,Q,1.20,36,,
WISE 7036,250.32958,-47.10072,G337.957-00.474,K,8.83,265,G337.949-00.476,
WISE 7037,249.99547,-46.86034,G337.986-00.144,Q,0.63,19,,
WISE 7038,249.90591,-46.80584,G337.986-00.062,Q,1.00,30,,
WISE 7039,249.76097,-46.70385,G337.996+00.081,C,2.23,67,,
WISE 7040,250.01647,-46.85170,G338.002-00.149,C,0.63,19,,
WISE 7041,249.98793,-46.83302,G338.003-00.121,K,9.20,276,G338.014-00.121,
WISE 7042,249.84324,-46.73678,G338.009+00.016,C,3.37,101,,
WISE 7043,249.99228,-46.75139,G338.066-00.069,Q,1.17,35,,
WISE 7044,249.90837,-46.68817,G338.075+00.016,K,2.50,75,G338.087+00.007,
WISE 7045,249.96114,-46.71368,G338.080-00.028,Q,1.13,34,,
WISE 7046,249.93405,-46.66235,G338.106+00.020,C,1.67,50,,
WISE 7047,250.17426,-46.79773,G338.114-00.193,K,9.03,271,G338.131-00.173,
WISE 7048,250.40806,-46.74162,G338.262-00.276,Q,0.73,22,,
WISE 7049,250.50447,-46.79827,G338.263-00.364,C,1.17,35,,
WISE 7050,250.43536,-46.74608,G338.271-00.293,Q,0.83,25,,
WISE 7051,250.53939,-46.78465,G338.289-00.373,C,1.97,59,,
WISE 7052,250.48803,-46.70193,G338.328-00.291,Q,1.80,54,,
WISE 7053,250.35897,-46.60277,G338.344-00.159,Q,1.13,34,,
WISE 7054,249.95151,-46.34646,G338.350+00.221,K,13.73,412,G338.398+00.164,
WISE 7055,250.30340,-46.54780,G338.360-00.095,C,3.13,94,,
WISE 7056,250.22661,-46.49584,G338.364-00.020,Q,1.80,54,,
WISE 7057,250.38016,-46.57562,G338.374-00.152,Q,1.13,34,,
WISE 7058,250.68450,-46.72414,G338.400-00.407,Q,0.77,23,,
WISE 7059,250.46567,-46.58601,G338.405-00.203,K,2.10,63,G338.407-00.238,
WISE 7060,251.25515,-47.05286,G338.407-00.918,C,21.10,633,,
WISE 7061,250.21606,-46.40135,G338.430+00.048,K,11.53,346,G338.450+00.061,
WISE 7062,250.50060,-46.57381,G338.430-00.214,Q,1.27,38,,
WISE 7063,250.56737,-46.59276,G338.446-00.261,Q,0.70,21,,
WISE 7064,250.55916,-46.58250,G338.450-00.250,Q,0.70,21,,
WISE 7065,250.53360,-46.55248,G338.461-00.217,Q,1.43,43,,
WISE 7066,250.58489,-46.58203,G338.462-00.262,C,4.60,138,,
WISE 7067,250.13400,-46.21639,G338.531+00.213,Q,0.80,24,,
WISE 7068,250.62358,-46.49238,G338.547-00.224,Q,0.77,23,,
WISE 7069,250.56104,-46.43076,G338.565-00.151,C,5.17,155,,
WISE 7070,250.17733,-46.18551,G338.574+00.211,Q,0.97,29,,
WISE 7071,249.81192,-45.95894,G338.575+00.550,Q,1.23,37,,
WISE 7072,250.38638,-46.31035,G338.576+00.020,C,4.50,135,,
WISE 7073,250.43486,-46.31316,G338.596-00.007,Q,1.03,31,,
WISE 7074,250.30042,-46.18871,G338.628+00.145,C,2.93,88,,
