idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
200,PN G007.8-03.7,T,M 2-34,274.31644,-23.98181,8,0.133,1,177,1992secg.book.....A,,
201,PN G007.8-04.4,T,H 1-65,275.03687,-24.25141,8,0.133,2.67,0,1992secg.book.....A,,
202,PN G008.0+03.9,T,NGC 6445,267.31363,-20.00957,224,3.733,,149,1992secg.book.....A,,
204,PN G008.1-04.7,T,M 2-39,275.50479,-24.17783,3.2,0.053,1,,1992secg.book.....A,,
205,PN G008.2-04.8,T,M 2-42,275.63368,-24.15767,3.8,0.063,,,1992secg.book.....A,,
206,PN G008.3-01.1,T,M 1-40,272.10831,-22.28146,15.5,0.258,,44,1992secg.book.....A,,
207,PN G008.3-07.3,T,NGC 6644,278.14435,-25.12889,4.4,0.073,1.02,,1992secg.book.....A,,
208,PN G008.4-03.6,T,H 1-64,274.59961,-23.41587,7.6,0.127,,,1992secg.book.....A,,
209,PN G008.6-07.0,T,Hen 2-406,277.97018,-24.77126,8,0.133,1.07,,1992secg.book.....A,,
210,PN G008.6-02.6,T,MaC 1-11,273.71204,-22.73206,8.4,0.14,,,1992secg.book.....A,,
211,PN G008.8+05.2,T,Th 4-2,266.54025,-18.65842,19,0.317,,,1992secg.book.....A,,
212,PN G009.0+00.4,T,GLMP 707,271.035,-20.9515,4,0.067,,,2003A&A...408.1029K,,
214,PN G009.3+02.8,T,Th 4-9,269.00244,-19.49072,9.3,0.155,,,1992secg.book.....A,,
215,PN G009.3+04.1,T,Th 4-6,267.7384,-18.78004,4,0.067,,,1992secg.book.....A,,
217,PN G009.4-09.8,T,M 3-32,281.17969,-25.3594,8.1,0.135,1.19,,1992secg.book.....A,,
218,PN G009.4-05.0,T,NGC 6629,276.42688,-23.20294,16.6,0.277,1.07,,1992secg.book.....A,,
219,PN G009.4-05.6,L,SB 16,277.08859,-23.42376,35.4,0.59,1.09,,2001A&A...378..843K,,
220,PN G009.6-10.6,T,M 3-33,282.05054,-25.48122,7.4,0.123,1.01,,1992secg.book.....A,,
221,PN G009.6+14.8,T,NGC 6309,258.51801,-12.91047,22.8,0.38,1.84,56,1992secg.book.....A,,
222,PN G009.6+10.5,T,Abell 41,262.25815,-15.21811,20.2,0.337,1.17,143,1992secg.book.....A,,
223,PN G009.8-04.6,T,H 1-67,276.27072,-22.58129,7,0.117,1.17,,1992secg.book.....A,,
224,PN G010.1+00.7,T,NGC 6537,271.30441,-19.84302,245,4.083,,38,1992secg.book.....A,,
226,PN G010.4+04.5,T,M 2-17,268.02,-17.6016,6.4,0.107,,,1992secg.book.....A,,
227,PN G010.6+03.2,T,Th 4-10,269.277,-18.1115,13.5,0.225,,,1992secg.book.....A,,
228,PN G010.7+07.4,T,Sa 2-230,265.50836,-15.93541,10,0.167,,,1992secg.book.....A,,
229,PN G010.7-06.4,T,IC 4732,278.47763,-22.6447,1.4,0.023,1,0,1992secg.book.....A,,
230,PN G010.7-06.7,T,Pe 1-13,278.71524,-22.72138,7.6,0.127,,,1992secg.book.....A,,
231,PN G010.8-01.8,T,NGC 6578,274.06882,-20.45074,12.1,0.202,1.03,144,1992secg.book.....A,,
233,PN G011.0+06.2,T,M 2-15,266.72687,-16.29022,7.5,0.125,,,1992secg.book.....A,,
234,PN G011.0+05.8,T,NGC 6439,267.08249,-16.47895,7,0.117,,,1992secg.book.....A,,
235,PN G011.0-05.1,T,M 1-47,277.29648,-21.78151,6.2,0.103,1.17,,1992secg.book.....A,,
236,PN G011.1+11.5,T,M 2-13,262.14246,-13.43912,3,0.05,1.25,40,1992secg.book.....A,,
238,PN G011.1-07.9,L,SB 17,280.08304,-22.90814,19.8,0.33,1.03,,1992secg.book.....A,,
239,PN G011.3-09.4,T,My 121,281.6463,-23.44675,3,0.05,1,,1992secg.book.....A,,
241,PN G011.4+17.9,T,DeHt 10,256.73,-9.78366,32,0.533,1.68,175,1992secg.book.....A,,
242,PN G011.4-07.3,T,SB 18,279.67938,-22.40388,12.6,0.21,1.11,,2001A&A...378..843K,,
243,PN G011.7-00.6,T,NGC 6567,273.43817,-19.07614,8.1,0.135,1.27,107,1992secg.book.....A,,
244,PN G011.7+00.0,T,M 1-43,272.9537,-18.77269,7,0.117,1.27,,1992secg.book.....A,,
246,PN G011.9+04.2,T,M 1-32,269.08325,-16.48443,9.1,0.152,1.14,,1992secg.book.....A,,
247,PN G012.2+04.9,T,PM 1-188,268.58792,-15.93105,16,0.267,1.07,0,1992secg.book.....A,,
248,PN G012.5-09.8,T,M 1-62,282.60846,-22.57293,4.8,0.08,1.04,,1992secg.book.....A,,
