No,id,alpha,delta,diameter,Area,Common name
333,FeSt 1-333,244.042,-45.2738,147.01,4.715,
334,FeSt 1-334,237.4842,-39.7014,26.57,0.154,
335,FeSt 1-335,251.6283,-49.9066,86.36,1.627,
336,FeSt 1-336,231.6335,-33.4243,39.07,0.333,
337,FeSt 1-337,249.7572,-48.2651,31.76,0.22,S 182 | S 184
338,FeSt 1-338,246.0754,-45.7316,73.98,1.194,
339,FeSt 1-339,243.8569,-44.1413,32.4,0.229,
340,FeSt 1-340,238.3846,-39.4644,27.67,0.167,
341,FeSt 1-341,234.2719,-34.8642,27.33,0.163,
342,FeSt 1-342,234.8216,-34.6287,36.96,0.298,
343,FeSt 1-343,253.8982,-49.0795,122.2,3.258,
344,FeSt 1-344,247.1151,-44.3436,65.71,0.942,
345,FeSt 1-345,242.1505,-40.6152,134.32,3.936,
346,FeSt 1-346,243.3082,-41.3269,103.79,2.35,
347,FeSt 1-347,239.5761,-37.8594,40.17,0.352,
348,FeSt 1-348,241.4904,-39.4014,79.88,1.392,
349,FeSt 1-349,236.0724,-34.3404,74.07,1.197,SL 13
350,FeSt 1-350,240.532,-38.4554,119.76,3.129,
351,FeSt 1-351,244.1741,-39.9065,21.09,0.097,
352,FeSt 1-352,254.5962,-46.3595,98.16,2.102,
353,FeSt 1-353,251.4998,-44.5738,150.78,4.96,
354,FeSt 1-354,248.0964,-41.9058,52.05,0.591,
355,FeSt 1-355,244.8218,-39.437,59.76,0.779,
356,FeSt 1-356,249.5049,-42.6495,112.82,2.777,
357,FeSt 1-357,246.1294,-40.1479,41.4,0.374,
358,FeSt 1-358,247.487,-40.8419,56.93,0.707,
359,FeSt 1-359,255.7135,-45.4042,279.37,17.027,
360,FeSt 1-360,250.9318,-42.6097,25.78,0.145,
361,FeSt 1-361,246.9777,-39.7441,55.62,0.675,
362,FeSt 1-362,244.0061,-37.4239,98.6,2.121,
363,FeSt 1-363,245.6173,-38.6335,58.79,0.754,
364,FeSt 1-364,258.0491,-46.2099,119.22,3.101,
365,FeSt 1-365,257.746,-45.928,21.52,0.101,
366,FeSt 1-366,262.0195,-47.8243,42.93,0.402,
367,FeSt 1-367,259.1511,-46.288,56.93,0.707,
368,FeSt 1-368,256.3078,-44.7181,53.27,0.619,
369,FeSt 1-369,250.9687,-41.0095,24.32,0.129,
370,FeSt 1-370,248.7513,-39.1862,102.59,2.296,
371,FeSt 1-371,245.5964,-35.6169,51.2,0.572,
372,FeSt 1-372,255.7109,-42.3542,46.02,0.462,
373,FeSt 1-373,257.9223,-43.3771,70.39,1.081,
374,FeSt 1-374,259.2778,-43.8373,34.79,0.264,
375,FeSt 1-375,251.6044,-39.0732,40.68,0.361,
376,FeSt 1-376,252.71,-39.6181,33.31,0.242,
377,FeSt 1-377,246.1173,-34.8812,39.42,0.339,
378,FeSt 1-378,256.5302,-41.5669,663.58,96.068,
379,FeSt 1-379,255.1429,-40.2568,130.35,3.707,
380,FeSt 1-380,257.7829,-41.7444,44.6,0.434,
381,FeSt 1-381,258.9587,-41.7054,51.47,0.578,
382,FeSt 1-382,249.8029,-35.7314,108.73,2.579,
383,FeSt 1-383,268.497,-45.3096,16.16,0.057,
384,FeSt 1-384,258.5486,-40.5407,32.4,0.229,
385,FeSt 1-385,266.5874,-44.3688,13.2,0.038,
386,FeSt 1-386,258.372,-40.3749,79.42,1.376,
387,FeSt 1-387,253.9716,-37.6622,90.2,1.775,
388,FeSt 1-388,257.0885,-39.4643,43.93,0.421,
389,FeSt 1-389,260.6306,-41.1808,31.32,0.214,
390,FeSt 1-390,267.2315,-43.7157,31.54,0.217,
391,FeSt 1-391,259.6188,-39.8523,69.34,1.049,
392,FeSt 1-392,255.1435,-37.09,23.35,0.119,
393,FeSt 1-393,252.7279,-35.2513,47.68,0.496,
394,FeSt 1-394,268.8316,-43.6912,20.76,0.094,
395,FeSt 1-395,255.412,-36.1554,44.6,0.434,
396,FeSt 1-396,272.4057,-43.5905,31.03,0.21,
397,FeSt 1-397,264.8439,-39.4771,126.71,3.503,
398,FeSt 1-398,257.7328,-35.2945,25.15,0.138,
399,FeSt 1-399,263.7605,-38.4823,71.01,1.1,
400,FeSt 1-400,259.4143,-36.0198,69.57,1.056,
401,FeSt 1-401,253.0561,-31.933,31.97,0.223,
402,FeSt 1-402,245.6633,-25.9164,150.78,4.96,
403,FeSt 1-403,246.3869,-25.5299,36.21,0.286,
404,FeSt 1-404,247.2147,-25.8929,81.3,1.442,
405,FeSt 1-405,266.054,-37.5379,52.7,0.606,
406,FeSt 1-406,260.655,-34.6139,24.32,0.129,
407,FeSt 1-407,260.8049,-34.5965,82,1.467,
408,FeSt 1-408,245.6529,-23.9665,134.59,3.952,
409,FeSt 1-409,246.4566,-24.5296,27.67,0.167,
410,FeSt 1-410,267.205,-37.6323,35.18,0.27,
411,FeSt 1-411,247.8843,-24.7899,50.07,0.547,
412,FeSt 1-412,258.3091,-31.7583,147.21,4.728,
