id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
NGC 6603,,,*,4,274.6,-18.4067,,11.1,,,4,,,,I1r,,,2.88,,OCL 36,ESO 590-SC17,in M 24
NGC 6604,,,*,4,274.525,-12.2167,,6.5,,,6,,,,I3p,,,1.696,,OCL 56,,
NGC 6605,,,*,4,274.1,-15,,6,,,29,,,,OCL,,,0.889,,OCL 47,*Grp ?,
NGC 6606,,,*,1,273.672083333333,43.2686,14.7,13.9,0.8,13.3,0.9,0.7,1.29,69,Sb,0.019257,81.34,,61633,UGC 11174,MCG 7-37-25,CGCG 227-21
NGC 6607,,,*,1,273.062083333333,61.3333,16.1,15.3,0.8,13.6,0.5,0.5,1,,Sb,0.022596,=300000*X7086/71,,61550,MCG 10-26-23,CGCG 301-20,
NGC 6608,,,*,1,273.121666666667,61.2986,15.8,15.1,0.7,12.4,1,0.1,10,42,Scd,0.022415,94.68,,61556,MCG 10-26-24,FGC 2194,
NGC 6609,,,*,1,273.14,61.3322,15.3,14.5,0.8,13.6,0.7,0.7,1,,S?,0.027182,114.81,,61559,MCG 10-26-25,CGCG 301-21,7ZW 773
NGC 6610,,,*,7,272.963333333333,14.9817,12.8,12,0.8,12.3,1.5,1.1,1.36,160,SBbc,0.007612,32.15,36.95,61536,NGC 6574,UGC 11144,MCG 2-46-10
NGC 6611,,,*,4,274.6875,-13.7983,,6,,,8,,,,II3mn,,,1.719,,M 16,OCL 54,Eagle Nebula embedded
NGC 6612,,,*,1,274.045416666667,36.0792,15.2,14.2,1,13.3,0.7,0.7,1,,C,0.021153,89.35,,61665,MCG 6-40-11,CGCG 200-14,1ZW 204
NGC 6613,,,*,4,274.991666666667,-17.1017,,6.9,,,7,,,,II3pn,,,1.296,,M 18,OCL 40,
NGC 6614,,,*,1,276.280416666667,-63.2483,13.5,12.5,1,12.9,1.4,1.1,1.27,65,E/SB0,0.014407,60.85,,61852,ESO 103-18,,
NGC 6615,,,*,1,274.639166666667,13.2653,14,13.1,0.9,13.1,1.3,0.9,1.44,165,SB0-a,0.00895,37.8,,61713,UGC 11196,MCG 2-46-13,CGCG 84-34
NGC 6616,,,*,1,274.420833333333,22.2378,14.6,13.8,0.8,13.5,1.4,0.6,2.33,59,Sab,0.018533,78.28,,61693,UGC 11192,MCG 4-43-22,CGCG 142-36
NGC 6617,,,*,1,273.512083333333,61.3194,15.3,14.6,0.7,14.2,1.1,0.7,1.57,80,Scd,0.022405,94.64,89.65,61613,UGC 11176,MCG 10-26-29,CGCG 301-25
NGC 6618,,,*,2,275.195833333333,-16.1717,6,,,,20,15,1.33,,EN+OCL,,,1.7,,M 17,OCL 44,LBN 60
NGC 6619,,,*,1,274.73125,23.6553,14,13,1,13.3,1.2,1.1,1.09,102,E1,0.016805,70.98,,61721,UGC 11200,MCG 4-43-25,CGCG 142-39
NGC 6620,,,*,3,275.725833333333,-26.8211,15,12.7,,,0.13,,,,PN,,,6.42,,PK 5-6.1,ESO 522-PN22,
NGC 6621,,,*,1,273.231666666667,68.3631,14.4,13.6,0.8,14,2.1,0.8,2.63,145,Sb/P,0.020652,87.23,,61582,UGC 11175,MCG 11-22-30,CGCG 322-36
NGC 6622,,,*,1,273.249583333333,68.3542,15.8,15,0.8,13.7,0.9,0.4,2.25,145,Sbc,0.021568,91.1,,61579,UGC 11175,MCG 11-22-31,CGCG 322-36
NGC 6623,,1,*,1,274.92875,23.7094,14,13,1,13.5,1.3,1.2,1.08,155,E1,0.01396,58.97,,61739,UGC 11203,MCG 4-43-26,CGCG 142-40
NGC 6623,,2,,1,274.927916666667,23.7019,15.5,14.5,1,11.7,0.3,0.3,1,,C,0.016485,69.63,,61744,MCG 4-43-27,CGCG 142-40,
NGC 6624,,,*,5,275.91875,-30.3606,,7.6,,,8.8,,,,VI,,,7.9,,GCL 93,ESO 457-SC11,
NGC 6625,,,*,4,275.803333333333,-12.0131,,9,,,39,,,,OCL,,,1.335,,OCL 58,*Grp ?,
NGC 6626,,,*,5,276.137083333333,-24.8694,,6.9,,,13.8,,,,IV,,,5.5,,M 28,GCL 94,ESO 522-SC23
NGC 6627,,,*,1,275.662083333333,15.6983,14.3,13.3,1,13.5,1.3,1.2,1.08,70,SBb,0.017586,74.28,71.6,61792,UGC 11212,MCG 3-47-1,CGCG 114-4
NGC 6628,,,*,1,275.590416666667,23.4775,13.9,12.9,1,13.8,1.9,1.3,1.46,87,S0,0.01482,62.6,,61790,UGC 11211,MCG 4-43-29,CGCG 142-41
NGC 6629,,,*,3,276.426666666667,-23.2022,11.6,11.3,,,0.27,,,,PN,,,2.198,,PK 9-5.1,ESO 522-PN26,CS=12.8
NGC 6630,,,*,1,278.14375,-63.2919,14.6,13.9,0.7,13,0.8,0.7,1.14,,E-S0,0.008926,37.7,,62008,ESO 103-26,IRAS 18278-6319,
NGC 6631,,,*,4,276.789583333333,-12.0264,,11.7,,,7,,,,II2m,,,2.6,,OCL 59,,
NGC 6632,,,*,1,276.262916666667,27.5358,12.9,12.1,0.8,13.5,3,1.4,2.14,155,Sbc,0.015884,67.09,,61849,UGC 11226,MCG 5-43-18,CGCG 172-32
NGC 6633,,,*,4,276.812916666667,6.5083,,4.6,,,20,,,,III2m,,,0.385,,OCL 90,,
NGC 6634,,,*,9,277.480416666667,-33.5111,,,,,,,,,*Grp,,,,,not M 69,,
NGC 6635,,,*,1,276.904166666667,14.8186,14.4,13.4,1,13.1,1,0.9,1.11,42,S0,0.017709,74.8,,61900,UGC 11239,MCG 2-47-3,
NGC 6636,,1,*,1,275.510833333333,66.6175,14.4,13.7,0.7,13.4,2.1,0.3,7,179,Sc,0.014653,61.89,,61782,UGC 11221,MCG 11-22-46,CGCG 322-41
NGC 6636,,2,,1,275.520416666667,66.6225,16,15.2,0.8,12.4,0.3,0.3,1,,Sab,0.015521,65.56,,61780,UGC 11221,MCG 11-22-47,CGCG 322-41
NGC 6637,,,*,5,277.846666666667,-32.3475,9.3,8.3,,,7.1,,,,V,,,8.8,,M 69,GCL 69,ESO 457-SC14
NGC 6638,,,*,5,277.734166666667,-25.4958,,9.2,,,7.3,,,,VI,,,9.4,,GCL 95,ESO 522-SC30,
NGC 6639,,,*,4,277.740833333333,-13.1706,,,,,5,,,,OCL,,,0.7,,OCL 57,,
NGC 6640,,,*,1,277.03375,34.3025,14.2,13.5,0.7,13.2,1.1,0.8,1.38,153,Sc,0.022709,95.92,,61913,UGC 11247,MCG 6-40-18,CGCG 200-21
NGC 6641,,,*,1,277.23875,22.9033,14.2,13.4,0.8,12.7,0.9,0.7,1.29,102,S,0.013826,58.4,,61935,UGC 11250,MCG 4-43-35,CGCG 142-49
NGC 6642,,,*,5,277.97625,-23.4758,,8.9,,,5.8,,,,IV,,,8.1,,GCL 97,ESO 522-SC32,
NGC 6643,,,*,1,274.94,74.5683,11.7,11.1,0.6,13.1,3.7,1.8,2.06,38,Sc,0.00495,20.91,22.09,61742,UGC 11218,MCG 12-17-21,CGCG 340-43
NGC 6644,,,*,3,278.144583333333,-25.1283,12.2,10.7,,,0.2,,,,PN,,,3.067,,PK 8-7.2,ESO 522-PN33,CS=15.9
NGC 6645,,,*,4,278.1575,-16.8839,,8.5,,,15,,,,III1m,,,1.245,,OCL 48,,
NGC 6646,,,*,1,277.41125,39.865,13.5,12.6,0.9,12.7,1.6,1.3,1.23,63,Sa,0.019227,81.21,,61944,UGC 11258,MCG 7-38-8,CGCG 228-10
NGC 6647,,,*,4,278.204166666667,-17.2283,8,,,,,,,,OCL,,,2.2,,,,
NGC 6648,,,*,9,276.405833333333,64.9758,,,,,,,,,*2,,,,,,,
NGC 6649,,,*,4,278.367916666667,-10.4022,,8.9,,,6,,,,II2m,,,1.369,,OCL 66,,
NGC 6650,,,*,1,276.36625,68.0064,14.9,13.9,1,11.8,0.4,0.4,1,,C,0.023536,99.41,,61857,CGCG 322-43,7ZW 794,NPM1G +67.0164
NGC 6651,,,*,1,276.082083333333,71.6022,13.9,13.1,0.8,13,1.6,0.7,2.29,30,Sbc,0.01924,81.27,75.35,61836,UGC 11236,MCG 12-17-22,CGCG 340-44
NGC 6652,,,*,5,278.940416666667,-32.9897,,8.5,,,6,,,,VI,,,10,,GCL 98,ESO 395-SC11,
NGC 6653,,,*,1,281.160833333333,-73.2631,13.2,12.2,1,13.2,1.7,1.5,1.13,,E1,0.017222,72.74,49.25,62342,ESO 45-13,,
NGC 6654,A,,,1,279.855416666667,73.5808,13.5,12.9,0.6,13.6,2.7,0.8,3.38,63,SBd/P,0.005197,21.95,26.4,62207,UGC 11332,MCG 12-17-29,CGCG 340-53
NGC 6654,,,*,1,276.031666666667,73.1828,13,12,1,13.7,2.6,2.1,1.24,0,SB0-a,0.006074,25.66,29.5,61833,UGC 11238,MCG 12-17-23,CGCG 340-45
NGC 6655,,,*,9,278.628333333333,-5.9211,,,,,,,,,*2,,,,,,,
NGC 6656,,,*,5,279.100833333333,-23.9028,,5.2,,,32,,,,VII,,,3.2,,M 22,GCL 99,ESO 523-SC4
NGC 6657,,,*,1,278.25625,34.0608,14.2,13.5,0.7,12.8,1,0.6,1.67,138,SBc,0.023463,99.11,,62019,UGC 11271,MCG 6-41-3,CGCG 201-8
NGC 6658,,,*,1,278.482083333333,22.8881,14,12.9,1.1,12.3,1.6,0.3,5.33,5,S0-a,0.014243,60.16,,62052,UGC 11274,MCG 4-44-2,CGCG 143-2
NGC 6659,,,*,9,278.5,23.595,,,,,7,5,1.4,,*Grp,,,,,,,
NGC 6660,,,*,7,278.652916666667,22.9092,13.1,12.1,1,12.6,1.8,1.1,1.64,145,S0-a,0.01413,59.68,,62072,NGC 6661,UGC 11282,MCG 4-44-3
NGC 6661,,,*,1,278.652916666667,22.9092,13.1,12.1,1,12.6,1.8,1.1,1.64,145,S0-a,0.01413,59.68,,62072,NGC 6660,UGC 11282,MCG 4-44-3
NGC 6662,,,*,1,278.546666666667,32.0647,14.5,13.7,0.8,13.3,1.6,0.5,3.2,20,SBab,0.017686,74.7,,62059,UGC 11280,MCG 5-44-3,CGCG 173-7
NGC 6663,,,*,1,278.390416666667,40.0492,14.6,13.9,0.7,13.6,1,0.9,1.11,140,Sc,0.022969,97.02,,62032,UGC 11276,MCG 7-38-11,CGCG 228-14
NGC 6664,,,*,4,279.1275,-8.1875,,7.8,,,12,,,,III2m,,,1.164,,OCL 68,,
NGC 6665,,,*,1,278.625,30.7208,14.6,13.9,0.7,13.3,1.1,0.6,1.83,0,Sc,0.016488,69.64,,62065,MCG 5-44-4,CGCG 173-10,IRAS 18325+3040
NGC 6666,,,*,10,278.683333333333,33.5883,,,,,,,,,NF,,,,,,,
NGC 6667,,,*,1,277.665416666667,67.9867,13.5,12.7,0.8,13.5,2.4,1.1,2.18,105,SBab/P,0.008613,36.38,42.2,61972,NGC 6668,NGC 6678,UGC 11269
NGC 6668,,,*,7,277.665416666667,67.9867,13.5,12.7,0.8,13.5,2.4,1.1,2.18,105,SBab/P,0.008613,36.38,42.2,61972,NGC 6667,NGC 6678,UGC 11269
NGC 6669,,,*,9,279.3125,22.1964,,,,,,,,,*Grp,,,,,,,
NGC 6670,A,,,1,278.40625,59.8897,15.1,14.3,0.8,11.7,0.5,0.2,2.5,105,S,0.029083,122.84,,62033,UGC 11284,MCG 10-26-44,CGCG 301-31
NGC 6670,,,*,1,278.389166666667,59.8878,15.1,14.3,0.8,13.7,1.1,0.6,1.83,90,S,0.028853,121.87,,62033,UGC 11284,MCG 10-26-44,CGCG 301-31
NGC 6671,,,*,1,279.359166666667,26.4175,13.7,12.8,0.9,13.4,1.5,1.3,1.15,27,S,0.010724,45.3,,62148,UGC 11299,MCG 4-44-6,CGCG 143-6
NGC 6672,,,*,9,279.060416666667,42.9469,,,,,,,,,*2,,,,,,,
NGC 6673,,,*,1,281.27625,-62.2969,12.6,11.6,1,12.4,2.2,1,2.2,26,E-S0,0.003906,16.5,13.57,62351,ESO 140-44,FAIR 186,AM 1840-622
NGC 6674,,,*,1,279.64125,25.3744,13,12.2,0.8,14.4,4.2,2.1,2,143,SBb,0.011477,48.48,,62178,UGC 11308,MCG 4-44-7,CGCG 143-8
NGC 6675,,,*,1,279.359166666667,40.0578,13.3,12.5,0.8,13.3,1.8,1.3,1.38,130,Sbc,0.008322,35.15,45.05,62149,UGC 11305,MCG 7-38-13,CGCG 228-19
NGC 6676,,,*,1,278.29,66.96,15.2,14.4,0.8,13.5,1.6,0.3,5.33,142,Sbc,0.023046,97.34,,62021,UGC 11286,MCG 11-22-54,CGCG 322-45
NGC 6677,,,*,1,278.376666666667,67.1369,14.1,13.1,1,10.6,0.4,0.3,1.33,90,C,0.0226,95.46,,62029,IC 4763,UGC 11288,MCG 11-22-55
NGC 6678,,,*,7,277.665416666667,67.9867,13.5,12.7,0.8,13.5,2.4,1.1,2.18,105,SBab/P,0.008613,36.38,42.2,61972,NGC 6667,NGC 6668,UGC 11269
NGC 6679,,,*,1,278.39875,67.11,14.1,13.3,0.8,12,0.9,0.4,2.25,95,Sbc,0.022259,94.02,,62035,UGC 11290,MCG 11-22-57,CGCG 323-2
NGC 6680,,,*,1,279.933333333333,22.3164,15.4,14.6,0.8,13.3,0.7,0.5,1.4,45,S,0.013543,57.2,,62210,CGCG 143-10,,
NGC 6681,,,*,5,280.802916666667,-32.2914,,7.8,,,8,,,,V,,,9,,M 70,GCL 101,ESO 458-SC3
NGC 6682,,,*,9,279.904166666667,-4.8133,,,,,47,,,,*Cloud,,,,,* cloud?,,
NGC 6683,,,*,4,280.552916666667,-6.2125,,9.4,,,3,,,,I2p,,,1.197,,OCL 74,,
NGC 6684,A,,,1,283.098333333333,-64.8314,13.2,12.6,0.6,14.3,3,1.8,1.67,140,IBm,0.003356,14.18,12.6,62517,ESO 104-19,AM 1847-645,
NGC 6684,,,*,1,282.239166666667,-65.1728,11.3,10.4,0.9,12.8,4.6,2.9,1.59,35,SB0,0.002945,12.44,12.44,62453,ESO 104-16,AM 1843-651,Theta Pav 5' n
NGC 6685,,,*,1,279.994166666667,39.9822,14.4,13.4,1,13.5,1.1,0.9,1.22,30,E-S0,0.021905,92.53,95.28,62220,UGC 11317,MCG 7-38-15,CGCG 228-21
NGC 6686,,,*,1,280.02875,40.1381,15.7,14.7,1,14.2,0.9,0.8,1.13,84,C,0.02358,99.6,,62224,MCG 7-38-17,CGCG 228-22,NPM1G +40.0489
NGC 6687,,,*,1,279.341666666667,59.6431,14.7,14,0.7,14.5,1.3,1.2,1.08,60,Scd,0.011254,47.54,,62144,UGC 11309,MCG 10-26-46,CGCG 301-34
NGC 6688,,,*,1,280.16625,36.2894,13.5,12.6,0.9,13.3,1.6,1.3,1.23,75,S0-a,0.018219,76.96,,62242,UGC 11324,MCG 6-41-15,CGCG 201-27
NGC 6689,,,*,1,278.707916666667,70.5242,13.1,12.5,0.6,14,4,1.3,3.08,171,SBcd,0.001558,6.58,13.82,62077,NGC 6690,UGC 11300,MCG 12-17-26
NGC 6690,,,*,7,278.707916666667,70.5242,13.1,12.5,0.6,14,4,1.3,3.08,171,SBcd,0.001558,6.58,13.82,62077,NGC 6689,UGC 11300,MCG 12-17-26
NGC 6691,,,*,1,279.8,55.6417,13.6,12.9,0.7,13.6,1.6,1.5,1.07,48,SBbc,0.019634,82.93,,62202,UGC 11318,MCG 9-30-31,CGCG 279-22
NGC 6692,,,*,1,280.422916666667,34.8442,14.2,13.2,1,12.9,1,0.7,1.43,110,E-S0,0.018229,77,,62268,UGC 11330,MCG 6-41-18,CGCG 201-33
NGC 6693,,,*,10,280.383333333333,36.915,,,,,,,,,NF,,,,,,,
NGC 6694,,,*,4,281.3125,-9.385,,8,,,8,,,,I1m,,,1.582,,M 26,OCL 67,
NGC 6695,,,*,1,280.678333333333,40.3672,14.3,13.5,0.8,13.1,1.1,0.7,1.57,12,SBb,0.018303,77.31,,62296,UGC 11340,MCG 7-38-18,CGCG 228-23
NGC 6696,,,*,1,280.020833333333,59.3333,15.9,15.1,0.8,13,0.8,0.2,4,0,S,0.025697,108.54,,62215,MCG 10-26-47,,
NGC 6697,,,*,1,281.312083333333,25.5128,13.7,12.7,1,12.9,1.2,1,1.2,48,E2,0.015621,65.98,,62354,UGC 11349,MCG 4-44-14,CGCG 143-21
NGC 6698,,,*,9,282.041666666667,-25.8958,,,,,15,,,,*Grp,,,,,PK 9-10.1 involved?,,
NGC 6699,,,*,1,283.007916666667,-57.3206,12.6,12,0.6,12.7,1.5,1.5,1,,SBbc,0.011314,47.79,,62512,ESO 183-21,AM 1847-572,IRAS 18477-5722
NGC 6700,,,*,1,281.517916666667,32.2794,13.8,13.1,0.7,13.3,1.4,1,1.4,115,SBc,0.015304,64.64,83.95,62376,UGC 11351,MCG 5-44-10,CGCG 173-26
NGC 6701,,,*,1,280.8025,60.6531,13,12.1,0.9,12.7,1.5,1.3,1.15,25,SBa,0.013226,55.87,,62314,UGC 11348,MCG 10-26-50,CGCG 301-36
NGC 6702,,,*,1,281.74,45.7061,13.2,12.2,1,13.1,1.9,1.5,1.27,65,E2,0.015771,66.62,50.1,62395,UGC 11354,MCG 8-34-19,CGCG 255-13
NGC 6703,,,*,1,281.82875,45.5508,12.3,11.3,1,13.1,2.7,2.5,1.08,0,E-S0,0.008209,34.67,28.24,62409,UGC 11356,MCG 8-34-20,CGCG 255-14
NGC 6704,,,*,4,282.690833333333,-5.205,,9.2,,,6,,,,I3m,,,2.974,,OCL 82,,
NGC 6705,,,*,4,282.770833333333,-6.27,,5.8,,,11,,,,I2r,,,1.877,,M 11,OCL 76,Wild Duck cluster
NGC 6706,,,*,1,284.2125,-63.1664,13.9,12.9,1,13,1.5,0.7,2.14,123,E-S0,0.012892,54.45,,62596,ESO 104-24,,
NGC 6707,,,*,1,283.84125,-53.8192,13.3,12.6,0.7,13.2,2.1,1,2.1,143,SBc,0.009101,38.44,32.92,62563,ESO 183-25,AM 1851-535,IRAS 18512-5352
NGC 6708,,,*,1,283.898333333333,-53.7233,12.8,12,0.8,11.9,1.2,0.9,1.33,167,Sb,0.008603,36.34,35.7,62569,ESO 183-27,AM 1851-534,IRAS 18515-5347
NGC 6709,,,*,4,282.875,10.3333,,6.7,,,15,,,,III2m,,,1.075,,OCL 100,,
NGC 6710,,,*,1,282.641666666667,26.8386,14.1,13.1,1,13.6,1.7,1,1.7,40,S0-a,0.015184,64.14,,62482,UGC 11364,MCG 4-44-19,CGCG 143-27
NGC 6711,,,*,1,282.25375,47.6575,13.7,12.9,0.8,13.3,1.1,0.9,1.22,90,SBbc/P,0.015581,65.81,,62456,UGC 11361,MCG 8-34-25,CGCG 255-17
NGC 6712,,,*,5,283.267916666667,-8.7056,,8.1,,,9.8,,,,IX,,,6.9,,GCL 103,,
NGC 6713,,,*,1,282.684166666667,33.9603,14.7,13.7,1,11.6,0.4,0.3,1.33,100,S0,0.017529,74.04,,62487,UGC 11365,CGCG 201-38,KAZ 497
NGC 6714,,,*,10,281.454166666667,66.725,,,,,,,,,NF,,,,,,,
NGC 6715,,,*,5,283.76375,-30.4778,,7.7,,,12,,,,III,,,26.5,,M 54,GCL 104,ESO 458-SC8
NGC 6716,,,*,4,283.641666666667,-19.9083,,7.5,,,10,,,,IV1p,,,0.789,,OCL 46,ESO 592-SC5,
NGC 6717,,,*,5,283.775833333333,-22.7003,,8.4,,,5.4,,,,VIII,,,7.1,,Pal 9,GCL 105,ESO 523-SC14
NGC 6718,,,*,1,285.370416666667,-66.1103,14,13.2,0.8,13.2,1.4,0.8,1.75,172,SBb,0.014343,60.58,,62688,ESO 104-29,FAIR 502,IRAS 18566-6611
NGC 6719,,,*,1,285.780416666667,-68.5878,13.5,12.8,0.7,13,1.7,0.8,2.13,107,Sc,0.012663,53.49,44.88,62710,ESO 72-8,IRAS 18578-6839,
NGC 6720,,,*,3,283.39625,33.0297,9.7,8.8,,,3,2.4,1.25,55,PN,,,0.787,,M 57,PK 63+13.1,"CS=14.8, Ring nebula"
NGC 6721,,,*,1,285.212083333333,-57.7594,13.1,12,1.1,12.9,1.6,1.4,1.14,155,E1,0.014747,62.29,58.3,62680,ESO 141-19,,
NGC 6722,,,*,1,285.917083333333,-64.895,13.3,12.5,0.8,12.5,2.9,0.4,7.25,166,Sb,0.015427,65.16,,62722,ESO 104-33,,
NGC 6723,,,*,5,284.888333333333,-36.6311,,6.8,,,13,,,,VII,,,8.7,,GCL 106,ESO 396-SC10,
NGC 6724,,,*,9,284.191666666667,10.4283,,,,,,,,,*Grp,,,,,,,
NGC 6725,,,*,1,285.485,-53.8642,12.2,11.3,0.9,12.1,2.2,0.5,4.4,40,S0,0.012092,51.08,,62692,ESO 183-36,AM 1857-535,
NGC 6726,,,*,2,285.413333333333,-36.8914,,,,,9,7,1.29,,RN,,,0.14,,ESO 396-N13,pair with N 6727,
NGC 6727,,,*,2,285.425833333333,-36.8764,,,,,80,,,,RN,,,0.14,,ESO 396-N14,pair with N 6726,
NGC 6728,,,*,9,285.058333333333,-8.9572,,,,,,,,,*Grp,,,,,,,
NGC 6729,,,*,2,285.480416666667,-36.9578,,,,,25,20,1.25,,EN+RN,,,1.3,,ESO 396-N*15,,
NGC 6730,,,*,1,286.89,-68.9122,12.2,11.2,1,13.2,1.8,1.5,1.2,25,E1,0.01433,60.53,,62796,ESO 72-9,SAO 254465 (6.8) 1.5' nf,
NGC 6731,,,*,9,284.30625,43.0772,,,,,,,,,*Grp,,,,,,,
NGC 6732,,1,*,1,284.100416666667,52.3775,14.8,13.8,1,13.6,1.2,0.7,1.71,100,E4,0.027042,114.22,,62586,UGC 11381,MCG 9-31-11,CGCG 280-11
NGC 6732,,2,,1,284.109166666667,52.3772,16,15,1,9.9,0.1,0.1,1,,C,0.027042,114.22,,2413402,UGC 11381,MCG 9-31-11,CGCG 280-11
NGC 6733,,,*,1,286.544583333333,-62.1967,13.3,12.3,1,13,1.8,1.2,1.5,110,SB0,0.016335,69,58.3,62770,ESO 141-25,,
NGC 6734,,,*,1,286.81,-65.4608,13.7,12.7,1,12.9,1.3,1.1,1.18,8,E-S0,0.014303,60.41,,62786,ESO 104-36,AM 1902-653,
NGC 6735,,,*,9,285.18875,-0.4558,,,,,8,,,,*Grp,,,,,near SDAO 142915,,
NGC 6736,,,*,1,286.872083333333,-65.4286,14.3,13.3,1,13.4,1.1,0.9,1.22,73,E2,0.014413,60.88,,62792,ESO 104-37,AM 1902-653,
NGC 6737,,,*,9,285.541666666667,-18.5467,,,,,,,,,*Grp,,,,,ESO 592-**8,,
NGC 6738,,,*,9,285.333333333333,11.615,,8.3,,,15,,,,*Grp,,,,,OCL 101,,
NGC 6739,,,*,1,286.952916666667,-61.3675,13.2,12.2,1,12.8,2.4,0.9,2.67,171,S0,0.014186,59.92,,62799,ESO 141-28,A 1903-61,
NGC 6740,,,*,1,285.210416666667,28.7711,14.7,13.9,0.8,13.3,0.9,0.8,1.13,30,Sb,0.01453,61.37,,62675,UGC 11388,MCG 5-45-1,IRAS 18587+2841
NGC 6741,,,*,3,285.654166666667,-0.4489,10.8,11.5,,,0.13,,,,PN,,,2.147,,PK 33-2.1,J 475,CS=14.7
NGC 6742,,,*,3,284.8325,48.4664,15,13.4,,,0.55,,,,PN,,,,,PK 78+18.1,Abell 50,CS=19.4
NGC 6743,,,*,9,285.36125,29.2872,,,,,8,,,,*Grp,,,,,,,
NGC 6744,A,,,1,287.182083333333,-63.73,15.1,14.5,0.6,14.6,1.8,0.7,2.57,110,IBm,,,,62815,ESO 104-38,,
NGC 6744,,,*,1,287.442083333333,-63.8567,9.1,8.5,0.6,14.4,20.1,12.9,1.56,15,SBbc,0.002805,11.85,9.5,62836,ESO 104-42,AM 1905-635,IRAS 19050-6354
NGC 6745,,1,,1,285.423333333333,40.7458,14.5,13.9,0.6,13.3,1.3,0.5,2.6,24,Sm,0.01515,63.99,,62691,UGC 11391,CGCG 229-13,IRAS 19000+4040
NGC 6745,,2,*,1,285.424583333333,40.7592,13.3,12.5,0.8,9.6,0.4,0.2,2,0,S,0.01516,64.03,,200361,UGC 11391,CGCG 229-13,IRAS 19000+4040
NGC 6746,,,*,1,287.592916666667,-61.9683,13.1,12.6,0.5,12.7,1.4,0.9,1.56,173,E-S0,0.01388,58.63,58.3,62852,ESO 141-29,IRAS 19058-6202,
NGC 6747,,,*,1,283.839583333333,72.7722,15.1,14.1,1,12.4,0.5,0.4,1.25,126,E2,0.038767,163.75,,62564,CGCG 341-12,NPM1G +72.0185,
NGC 6748,,,*,7,286.48125,-5.9917,12.5,11.9,,,0.43,,,,PN,,,1.994,,NGC 6751,PK 29-5.1,CS=13.9
NGC 6749,,,*,5,286.31375,1.9014,,12.4,,,4,,,,GCL,,,7.9,,GCL 107,OCL 91,Berkeley 42
NGC 6750,,,*,1,285.15,59.1672,13.8,13.1,0.7,12.4,1,0.6,1.67,5,Sc,0.012412,52.43,,62671,UGC 11389,MCG 10-27-6,CGCG 302-8
NGC 6751,,,*,3,286.48125,-5.9917,12.5,11.9,,,0.43,,,,PN,,,1.994,,NGC 6748,PK 29-5.1,CS=13.9
NGC 6752,,,*,5,287.715833333333,-59.9814,,5.3,,,29,,,,VI,,,4,,GCL 108,ESO 141-SC30,N 6777?
NGC 6753,,,*,1,287.84875,-57.0489,12,11.1,0.9,12.8,2.4,2.1,1.14,30,Sb,0.01057,44.65,,62870,ESO 184-22,AM 1907-570,IRAS 19071-5707
NGC 6754,A,,,1,287.183333333333,-51.0464,14.3,13.5,0.8,12.6,1.7,0.3,5.67,102,Sb,0.016745,70.73,69.4,62816,ESO 231-23,IRAS 19048-5107,
NGC 6754,,,*,1,287.854166666667,-50.6419,12.9,12.1,0.8,12.6,1.8,0.9,2,80,SBb,0.010864,45.89,43.4,62871,ESO 231-25,AM 1907-504,IRAS 19075-5043
NGC 6755,,,*,4,286.954166666667,4.2667,,7.5,,,15,,,,IV2m,,,1.785,,OCL 96,,
NGC 6756,,,*,4,287.177083333333,4.7058,,10.6,,,4,,,,I2m,,,1.507,,OCL 99,,
NGC 6757,,,*,1,286.275416666667,55.7175,13.9,13,0.9,13.2,1.4,1,1.4,84,SB0-a,0.007939,33.53,,62752,UGC 11401,MCG 9-31-19,CGCG 280-13
NGC 6758,,,*,1,288.46875,-56.3094,12.7,11.6,1.1,13,2.3,1.7,1.35,121,E3,0.011355,47.96,41.2,62935,ESO 184-37,AM 1909-562,
NGC 6759,,,*,1,286.7375,50.3483,15.1,14.3,0.8,13.8,1,0.7,1.43,25,S,0.008112,34.26,,62779,MCG 8-35-2,CGCG 256-6,
NGC 6760,,,*,5,287.800416666667,1.0311,,9,,,9.6,,,,IX,,,7.4,,GCL 109,,
NGC 6761,,,*,1,288.769583333333,-50.6569,14.3,13.4,0.9,14,1.6,1.2,1.33,19,SBab,0.018846,79.6,,62957,ESO 231-28,FAIR 858,IRAS 19113-5044
NGC 6762,,,*,7,286.404166666667,63.9342,14.3,13.4,0.9,12.7,1.5,0.4,3.75,119,S0-a,0.00975,41.18,,62757,NGC 6763,UGC 11405,CGCG 323-9
NGC 6763,,,*,1,286.404166666667,63.9342,14.3,13.4,0.9,12.7,1.5,0.4,3.75,119,S0-a,0.00975,41.18,,62757,NGC 6762,UGC 11405,CGCG 323-9
NGC 6764,,,*,1,287.069166666667,50.9331,12.6,11.9,0.7,12.9,2.2,1.2,1.83,62,SBbc,0.008059,34.04,32.54,62806,UGC 11407,MCG 8-35-3,CGCG 256-7
NGC 6765,,,*,3,287.777083333333,30.5464,13.1,12.9,,,0.67,,,,PN,,,1.534,,PK 62+9.1,CS=16.0,
NGC 6766,,,*,3,302.59875,46.4617,12.6,10.9,,,0.25,,,,PN,,,,,NGC 6884,PK 82+7.1,CS=15.6
