id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
IC 1342,,,*,1,315.10625,-14.495,14.6,13.9,0.7,12.2,0.8,0.3,2.67,78,Sc,0.026975,113.94,,65878,MCG -3-53-17,IRAS 20576-1441,
IC 1343,,,*,1,315.252916666667,-15.4036,15.7,14.9,0.8,14,1,0.5,2,177,S,0.028453,120.18,,187855,NPM1G -15.0556,,
IC 1344,,,*,1,315.31875,-13.3803,14.5,13.7,0.8,12.5,1,0.4,2.5,54,S,0.026892,113.59,,65913,MCG -2-53-18,,
IC 1345,,,*,1,315.342083333333,-13.3975,15.6,14.6,1,13.2,0.5,0.5,1,,E0,0.032453,=300000*X9801/71,,938504,NPM1G -13.0508,,
IC 1346,,,*,1,315.404583333333,-13.9603,14.9,14.1,0.8,13.5,1.2,0.6,2,102,SBb,0.028526,120.49,,65927,MCG -2-53-19,,
IC 1347,,,*,1,315.434583333333,-13.3128,15.3,14.4,0.9,13.5,0.8,0.6,1.33,18,S0,0.029427,124.3,,65928,MCG -2-53-20,NPM1G -13.0510,
IC 1348,,,*,1,315.432916666667,-13.3569,15.3,14.3,1,12.9,0.8,0.4,2,150,S0,0.02929,123.72,,3093671,NPM1G -13.0509,,
IC 1349,,,*,1,315.46,-13.265,15.5,14.7,0.8,12.7,0.6,0.3,2,50,S,0.027953,118.07,,940379,NPM1G -13.0511,,
IC 1350,,,*,7,315.4675,-13.8522,16,15.2,0.8,13.7,0.7,0.4,1.75,171,S,0.027956,118.08,,65939,IC 1354,MCG -2-53-21,NPM1G -14.0595
IC 1351,,,*,1,315.467916666667,-13.2014,15.7,14.7,1,12.1,0.5,0.2,2.5,20,S0,0.028233,119.26,,941325,NPM1G -13.0512,,
IC 1352,,,*,1,315.478333333333,-13.3844,16.5,15.7,0.8,11.7,0.3,0.1,3,10,S,0.040166,=300000*X9808/71,,938673,,,
IC 1353,,,*,1,315.484583333333,-13.2725,16.5,15.7,0.8,12.5,0.3,0.2,1.5,90,S,0.02919,123.3,,940278,,,
IC 1354,,,*,1,315.4675,-13.8522,16,15.2,0.8,13.7,0.7,0.4,1.75,171,S,0.027956,118.08,,65939,IC 1350,MCG -2-53-21,NPM1G -14.0595
IC 1355,,,*,1,315.492916666667,-13.1725,15.3,14.3,1,12.4,0.4,0.4,1,,E0,0.028326,119.65,,2800921,NPM1G -13.0513,,
IC 1356,,,*,1,315.720833333333,-15.8119,15.6,14.6,1,14.3,1.1,0.8,1.38,168,E3,0.028356,119.77,,65965,MCG -3-53-22,,
IC 1357,,,*,1,316.488333333333,-10.7158,15.2,14.3,0.9,14,1.3,0.7,1.86,39,Sa,0.027409,115.77,,66092,NPM1G -10.0600,,
IC 1358,,,*,1,316.62375,-16.2036,16,15.2,0.8,12.3,0.4,0.2,2,45,S,0.029864,126.14,,2817440,,,
IC 1359,,,*,1,317.179166666667,12.4839,14.8,13.9,0.9,12.9,1.2,0.4,3,175,S?,0.015771,66.62,,66189,UGC 11684,MCG 2-54-1,CGCG 426-4
IC 1360,,,*,1,317.709583333333,5.0717,15.3,14.5,0.8,12.7,0.7,0.3,2.33,20,S,0.028366,119.82,,66266,CGCG 401-3,,
IC 1361,,,*,1,317.87125,5.0547,15.1,14.2,0.9,13.4,0.9,0.6,1.5,45,S?,0.013216,55.82,,66297,UGC 11692,MCG 1-54-2,CGCG 401-5
IC 1362,,,*,1,317.969166666667,2.3294,15.6,14.6,1,11.6,0.3,0.2,1.5,0,E?,0.05,211.2,,66316,CGCG 375-7,KARA 898,NPM1G +02.0485
IC 1363,,,*,9,317.666666666667,46.87,,,,,,,,,*Grp,,,,,CED 188,,
IC 1364,,,*,1,318.3525,2.7703,14.8,13.8,1,13.1,1,0.6,1.67,130,C,0.013606,57.47,,66367,MCG 0-54-6,CGCG 375-13,2ZW 107
IC 1365,,,*,1,318.483333333333,2.5653,14.7,13.7,1,13.5,1.1,0.7,1.57,57,E4,0.049224,207.92,,66381,MCG 0-54-7,CGCG 375-15,2ZW 108
IC 1366,,,*,1,318.532916666667,1.7767,15.3,14.5,0.8,11.6,0.4,0.2,2,10,S,0.048243,203.78,,66386,CGCG 375-17,NPM1G +01.0513,
IC 1367,,,*,1,318.54,2.9944,14.9,14.1,0.8,10.9,0.3,0.2,1.5,140,S,0.013373,56.49,,66390,CGCG 375-19,NPM1G +02.0489,
IC 1368,,,*,1,318.5525,2.1783,14.3,13.4,0.9,12.5,1.2,0.4,3,48,Sa,0.013049,55.12,,66389,UGC 11703,MCG 0-54-8,CGCG 375-18
IC 1369,,,*,4,318.0375,47.7667,,8.8,,,5,,,,I1m,,,2.1,,OCL 204,,
IC 1370,,,*,1,318.809583333333,2.1922,15.1,14.6,0.5,12.1,1.6,0.5,3.2,131,5C,0.050335,212.61,,66418,CGCG 375-21,2ZW 111,
IC 1371,,,*,1,320.065,-4.8761,14.8,13.8,1,13.4,0.9,0.7,1.29,15,E-S0,0.030361,128.24,,66578,MCG -1-54-13,NPM1G -05.0598,
IC 1372,,,*,1,320.07125,-5.6047,15.5,14.7,0.8,13.3,0.8,0.4,2,140,S,0.027339,115.48,,3083153,,,
IC 1373,,,*,1,320.154583333333,1.0931,15.5,14.5,1,11.7,0.3,0.3,1,,S0,0.035354,149.33,,66589,MCG 0-54-13,CGCG 375-29,NPM1G +00.0565
IC 1374,,,*,1,320.260833333333,1.7136,15.9,15.1,0.8,11.9,0.3,0.2,1.5,90,S?,0.035377,149.43,,66605,CGCG 375-31,KARA 908,NPM1G +01.0518
