id,alpha,delta,diameter,Type,Common name,GId
SNR G298.6-00.0,183.4208,-62.6167,12,S,,G298.6-00.0
SNR G299.2-02.9,183.8042,-65.5,18,S,,G299.2-02.9
SNR G299.6-00.5,185.4375,-63.15,13,S,,G299.6-00.5
SNR G301.4-01.0,189.4792,-63.8167,37,S,,G301.4-01.0
SNR G302.3+00.7,191.4792,-62.1333,17,S,,G302.3+00.7
SNR G304.6+00.1,196.4958,-62.7,8,S,Kes 17,G304.6+00.1
SNR G306.3-00.9,200.4583,-63.5667,4,S?,,G306.3-00.9
SNR G308.1-00.7,204.4042,-63.0667,13,S,,G308.1-00.7
SNR G308.4-01.4,205.375,-63.7333,12,S?,,G308.4-01.4
SNR G308.8-00.1,205.625,-62.3833,30,C?,,G308.8-00.1
SNR G309.2-00.6,206.6292,-62.9,15,S,,G309.2-00.6
SNR G309.8+00.0,207.625,-62.0833,25,S,,G309.8+00.0
SNR G310.6-01.6,210.1875,-63.4333,2.5,C?,,G310.6-01.6
SNR G310.6-00.3,209.5,-62.15,8,S,Kes 20B,G310.6-00.3
SNR G310.8-00.4,210,-62.2833,12,S,Kes 20A,G310.8-00.4
SNR G311.5-00.3,211.4083,-61.9667,5,S,,G311.5-00.3
SNR G312.4-00.4,213.25,-61.7333,38,S,,G312.4-00.4
SNR G312.5-03.0,215.25,-64.2,20,S,,G312.5-03.0
SNR G315.1+02.7,216.125,-57.8333,190,S,,G315.1+02.7
SNR G315.4-02.3,220.75,-62.5,42,S,RCW 86 | MSH 14-63,G315.4-02.3
SNR G315.4-00.3,218.9792,-60.6,24,?,,G315.4-00.3
SNR G315.9-00.0,219.6042,-60.1833,25,S,,G315.9-00.0
SNR G316.3-00.0,220.375,-60,29,S,(MSH 14-57),G316.3-00.0
SNR G317.3-00.2,222.4167,-59.7667,11,S,,G317.3-00.2
SNR G318.2+00.1,223.7083,-59.0667,40,S,,G318.2+00.1
SNR G318.9+00.4,224.625,-58.4833,30,C,,G318.9+00.4
SNR G320.4-01.2,228.625,-59.1333,35,C,MSH 15-52 | RCW 89,G320.4-01.2
SNR G320.6-01.6,229.4583,-59.2667,60,S,,G320.6-01.6
SNR G321.9-01.1,230.9375,-58.2167,28,S,,G321.9-01.1
SNR G321.9-00.3,230.1667,-57.5667,31,S,,G321.9-00.3
SNR G322.1+00.0,230.2042,-57.1667,8,S?,,G322.1+00.0
SNR G322.5-00.1,230.8458,-57.1,15,C,,G322.5-00.1
SNR G323.5+00.1,232.175,-56.35,13,S,,G323.5+00.1
SNR G323.7-01.0,233.625,-57.2,51,S,,G323.7-01.0
SNR G326.3-01.8,238.25,-56.1667,38,C,MSH 15-56,G326.3-01.8
SNR G327.1-01.1,238.6042,-55.15,18,C,,G327.1-01.1
SNR G327.2-00.1,237.7292,-54.3,5,S,,G327.2-00.1
SNR G327.4+00.4,237.0833,-53.8167,21,S,Kes 27,G327.4+00.4
SNR G327.4+01.0,236.7,-53.3333,14,S,,G327.4+01.0
SNR G327.6+14.6,225.7083,-41.9333,30,S,SN1006 | PKS 1459-41,G327.6+14.6
SNR G328.4+00.2,238.875,-53.2833,5,F,(MSH 15-57),G328.4+00.2
SNR G329.7+00.4,240.3333,-52.3,40,S,,G329.7+00.4
SNR G330.0+15.0,227.5,-40,180,S,Lupus Loop,G330.0+15.0
SNR G330.2+01.0,240.275,-51.5667,11,S?,,G330.2+01.0
SNR G332.0+00.2,243.3208,-50.8833,12,S,,G332.0+00.2
SNR G332.4-00.4,244.3875,-51.0333,10,S,RCW 103,G332.4-00.4
SNR G332.4+00.1,243.8333,-50.7,15,S,MSH 16-51 | Kes 32,G332.4+00.1
SNR G332.5-05.6,250.8333,-54.5,35,S,,G332.5-05.6
SNR G335.2+00.1,246.9375,-48.7833,21,S,,G335.2+00.1
SNR G336.7+00.5,248.0458,-47.3167,14,S,,G336.7+00.5
SNR G337.0-00.1,248.9875,-47.6,1.5,S,(CTB 33),G337.0-00.1
SNR G337.2-00.7,249.8667,-47.85,6,S,,G337.2-00.7
SNR G337.2+00.1,248.9792,-47.3333,3,?,,G337.2+00.1
SNR G337.3+01.0,248.1625,-46.6,15,S,Kes 40,G337.3+01.0
SNR G337.8-00.1,249.7542,-46.9833,9,S,Kes 41,G337.8-00.1
SNR G338.1+00.4,249.4958,-46.4,15,S,,G338.1+00.4
SNR G338.3-00.0,250.25,-46.5667,8,C?,,G338.3-00.0
SNR G338.5+00.1,250.2875,-46.3167,9,?,,G338.5+00.1
SNR G340.4+00.4,251.6292,-44.65,10,S,,G340.4+00.4
SNR G340.6+00.3,251.9208,-44.5667,6,S,,G340.6+00.3
SNR G341.2+00.9,251.8958,-43.7833,22,C,,G341.2+00.9
SNR G341.9-00.3,253.7542,-44.0167,7,S,,G341.9-00.3
SNR G342.0-00.2,253.7083,-43.8833,12,S,,G342.0-00.2
SNR G342.1+00.9,252.6792,-43.0667,10,S,,G342.1+00.9
SNR G343.0-06.0,261.25,-46.5,250,S,RCW 114,G343.0-06.0
SNR G343.1-02.3,257,-44.2667,32,C?,,G343.1-02.3
SNR G343.1-00.7,255.1042,-43.2333,27,S,,G343.1-00.7
SNR G344.7-00.1,255.9625,-41.7,8,C?,,G344.7-00.1
SNR G345.1-00.2,256.3375,-41.4333,6,S,,G345.1-00.2
SNR G345.1+00.2,255.9167,-41.0833,10,S,,G345.1+00.2
SNR G345.7-00.2,256.8333,-40.8833,6,S,,G345.7-00.2
SNR G346.6-00.2,257.5792,-40.1833,8,S,,G346.6-00.2
SNR G347.3-00.5,258.4583,-39.75,65,S?,RX J1713.7-3946,G347.3-00.5
SNR G348.5-00.0,258.8583,-38.4667,10,S?,,G348.5-00.0
SNR G348.5+00.1,258.525,-38.5333,15,S,CTB 37A,G348.5+00.1
SNR G348.7+00.3,258.4792,-38.1833,17,S,CTB 37B,G348.7+00.3
SNR G348.8+01.1,257.8708,-37.6,10,S,,G348.8+01.1
SNR G349.2-00.1,259.3125,-38.0667,9,S,,G349.2-00.1
SNR G349.7+00.2,259.4958,-37.4333,2.5,S,,G349.7+00.2
SNR G350.0-02.0,261.9583,-38.5333,45,S,,G350.0-02.0
SNR G350.1-00.3,260.2708,-37.45,4,?,,G350.1-00.3
SNR G351.0-05.4,266.5,-39.4167,30,S,,G351.0-05.4
SNR G351.2+00.1,260.6125,-36.1833,7,C?,,G351.2+00.1
SNR G351.7+00.8,260.25,-35.45,18,S,,G351.7+00.8
SNR G351.9-00.9,262.2167,-36.2667,12,S,,G351.9-00.9
SNR G352.7-00.1,261.9167,-35.1167,8,S,,G352.7-00.1
SNR G353.3-01.1,263.2917,-35.2,60,S,,G353.3-01.1
SNR G353.6-00.7,263,-34.7333,30,S,,G353.6-00.7
SNR G353.9-02.0,264.7292,-35.1833,13,S,,G353.9-02.0
SNR G354.1+00.1,262.6167,-33.7667,15,C?,,G354.1+00.1
SNR G354.8-00.8,264,-33.7,19,S,,G354.8-00.8
SNR G355.4+00.7,262.8333,-32.4333,25,S,,G355.4+00.7
SNR G355.6-00.0,263.8167,-32.6333,8,S,,G355.6-00.0
SNR G355.9-02.5,266.4708,-33.7167,13,S,,G355.9-02.5
SNR G356.2+04.5,259.75,-29.6667,25,S,,G356.2+04.5
SNR G356.3-01.5,265.6458,-32.8667,20,S,,G356.3-01.5
SNR G356.3-00.3,264.4833,-32.2667,11,S,,G356.3-00.3
SNR G357.7-00.1,265.1208,-30.9667,8,?,MSH 17-39,G357.7-00.1
SNR G357.7+00.3,264.6458,-30.7333,24,S,,G357.7+00.3
SNR G358.0+03.8,261.5,-28.6,38,S,,G358.0+03.8
SNR G358.1+01.0,264.25,-29.9833,20,S,,G358.1+01.0
SNR G358.5-00.9,266.5417,-30.6667,17,S,,G358.5-00.9
SNR G359.0-00.9,266.7083,-30.2667,23,S,,G359.0-00.9
SNR G359.1-00.5,266.375,-29.95,24,S,,G359.1-00.5
SNR G359.1+00.9,264.9,-29.1833,12,S,,G359.1+00.9
SNR G359.2-01.1,267.0583,-30.2,5,S?,,G359.2-01.1
