id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
LDN 649,288.1,8.66833,288,288,288,1,,[DB2002b] G43.03-0.67,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 035-37,317.37083,-14.40472,280,280,280,1,,[DB2002b] G35-37,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HD210121 Dark Nebula Envelope,332.05,-3.53139,280,280,280,1,,[DB2002b] G56.88-44.46,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 280,68.6,3.8225,280,280,280,1,,[DB2002b] G192-28,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
G113.0-39.5,4.5625,22.73083,270,270,270,1,,[DB2002b] G113-39.5,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
HMST 282.4+0.5C,153.94167,-56.02778,270,270,270,1,,[DB2002b] G282.38+0.5,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 290-62,23.175,-54.08,270,270,270,1,,[DB2002b] G290-62,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HMST 335.0-2.1C,249.16667,-50.37278,270,270,270,1,,[DB2002b] G335-2.08,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 393,266.175,-7.18667,268,268,268,1,,[DB2002b] G18.69+11.33,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 638,282.60417,7.30917,268,268,268,1,,[DB2002b] G39.33+3.55,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 939,307.76667,48.16972,268,268,268,1,,[DB2002b] G85.54+5.15,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 314-47,351.47917,-68.7475,265,265,265,1,,[DB2002b] G314-46.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 1625,96.91667,5.96806,264,264,264,1,,[DB2002b] G204.91-2.53,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 721,292.8125,16.69,262,262,262,1,,[DB2002b] G52.27-0.94,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 386,273.19583,-11.98611,260,260,260,1,,[DB2002b] G17.86+2.95,,DARK_NEBULA,Dutra and Bica (2002b),
Lupus III,242.375,-39.09,260,260,260,1,,[DB2002b] G339.67+9.26,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 303,271.98333,-18.99194,255,255,255,1,,[DB2002b] G11.16+0.59,,DARK_NEBULA,Dutra and Bica (2002b),
FeSt 1-359,255.03333,-46.18889,250,250,250,1,,[DB2002b] G340.72-2.37,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1741,260.54583,-30.0475,250,250,250,1,,[DB2002b] G356.3+3.68,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 25,260.40833,-3.78667,247,247,247,1,,[DB2002b] G18.78+18,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 559,278.14167,-0.96194,247,247,247,1,,[DB2002b] G29.92+3.75,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 693,287.57083,14.49917,247,247,247,1,,[DB2002b] G47.96+2.49,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 272,75.61667,14.98722,244,244,244,1,,[DB2002b] G186.24-16,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 390,115.90833,-49.15833,242,242,242,1,,[DB2002b] G262.23-12.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 014+45,235.20417,6.79111,240,240,240,1,,[DB2002b] G14+45,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 029-43,321.5375,-20.83111,240,240,240,1,,[DB2002b] G29-43,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 061+22,273.525,33.99222,240,240,240,1,,[DB2002b] G61+22,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 53,330.82917,24.2425,240,240,240,1,,[DB2002b] G80.77-24.55,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Draco DN Complex,251.4125,60.71306,240,240,240,1,,[DB2002b] G90.62+38.67,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
DIR 105-31,355.225,29.40361,240,240,240,1,,[DB2002b] G105-31,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 1a,1.28333,23.86083,240,240,240,1,,[DB2002b] G109.5-37.8,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 133-64,17.25417,-1.4725,240,240,240,1,,[DB2002b] G133-64,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 152.9-31.2,40.99583,25.04139,240,240,240,1,,[DB2002b] G152.9-31.2,,DARK_NEBULA,Dutra and Bica (2002b),
[UT87] 4,53.73333,22.66611,240,240,240,1,,[DB2002b] G165.34-26.44,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1630,86.38333,-0.98083,240,240,240,1,,[DB2002b] G206.15-15.08,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 266+53,171.61667,-3.66806,240,240,240,1,,[DB2002b] G266+53,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 282-41,58.62917,-67.89667,240,240,240,1,,[DB2002b] G282-41,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 359.7+43.2,230.45833,-2.47417,240,240,240,1,,[DB2002b] G359.7+43.22,,DARK_NEBULA,Dutra and Bica (2002b),
Northern Coalsack,309.19167,42.175,238,238,238,1,,[DB2002b] G81.31+0.78,,DARK_NEBULA,Dutra and Bica (2002b),
DBDN 289.8-30.7,82.48333,-77.97194,230,230,230,1,,[DB2002b] G289.8-30.7,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 42,259.65417,5.94917,226,226,226,1,,[DB2002b] G27.53+23.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 150,269.26667,-25.00528,225,225,225,1,,[DB2002b] G4.68-0.19,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 572,277.6375,0.03528,225,225,225,1,,[DB2002b] G30.58+4.66,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 716,290.80833,17.0975,225,225,225,1,,[DB2002b] G51.72+0.94,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1238,353.07917,59.77611,225,225,225,1,,[DB2002b] G113.12-1.58,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 171,33.00417,76.44833,225,225,225,1,,[DB2002b] G127.71+14.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 96,257.14583,47.865,221,221,221,1,,[DB2002b] G74.03+36.67,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HMST 266.4-0.1C,134.43333,-45.71083,220,220,220,1,,[DB2002b] G266.42-0.05,,DARK_NEBULA,Dutra and Bica (2002b),
Chamaeleon III,190.5,-80.36667,220,220,220,1,,[DB2002b] G302.56-17.5,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
HMST 314.0-22.3C,259.72083,-78.88278,220,220,220,1,,[DB2002b] G313.98-22.33,,DARK_NEBULA,Dutra and Bica (2002b),
HMST 332.4-3.3C,247.78333,-53.06556,220,220,220,1,,[DB2002b] G332.44-3.27,,DARK_NEBULA,Dutra and Bica (2002b),
