alpha,delta,GName,diameter,id
278.056667,-9.498333,022.3-00.1,0.4,PBD 282
277.92375,-9.317222,022.4+00.1,4.5,PBD 283
278.65,-9.239167,022.8-00.5,2.2,PBD 284
278.47,-9.147222,022.8-00.3,21.9,PBD 285
278.516667,-9.058333,022.9-00.3,3.7,PBD 286
277.619167,-8.596389,022.9+00.7,6.2,PBD 287
278.653333,-9.015833,023.0-00.4,3.7,PBD 288
278.7,-8.926944,023.1-00.4,5.5,PBD 289
278.61,-8.880833,023.1-00.3,21,PBD 290
278.520417,-8.834722,023.1-00.2,4.9,PBD 291
277.892083,-8.511667,023.1+00.5,8,PBD 292
277.8025,-8.465278,023.1+00.6,3.8,PBD 293
278.165,-8.426667,023.3+00.3,3.8,PBD 294
278.66,-8.568611,023.4-00.2,7.9,PBD 295
278.527083,-8.387778,023.5-00.0,11.7,PBD 296
278.932917,-8.483056,023.6-00.4,5.4,PBD 297
278.484167,-8.252778,023.6+00.1,18.8,PBD 298
278.799583,-8.302222,023.7-00.2,2.4,PBD 299
278.44125,-8.118056,023.7+00.2,1.4,PBD 300
278.4875,-8.029167,023.8+00.2,2.2,PBD 301
278.802917,-8.078611,023.9-00.1,1.1,PBD 302
278.62375,-7.986667,023.9+00.1,3.4,PBD 303
278.534167,-7.940556,023.9+00.2,1.3,PBD 304
278.580833,-7.851667,024.0+00.2,0.8,PBD 305
278.895833,-7.901111,024.1-00.1,1.9,PBD 306
278.716667,-7.809167,024.1+00.1,1.9,PBD 307
278.9425,-7.812222,024.2-00.1,2.3,PBD 308
278.67375,-7.674167,024.2+00.2,3.3,PBD 309
279.078333,-7.769444,024.3-00.2,5.2,PBD 310
278.85625,-7.542778,024.4+00.1,2.8,PBD 311
279.17125,-7.591944,024.5-00.2,11.3,PBD 312
278.992083,-7.5,024.5-00.0,1.7,PBD 313
278.812917,-7.407778,024.5+00.2,11.4,PBD 314
278.544583,-7.269722,024.5+00.5,8.4,PBD 315
279.2175,-7.503056,024.6-00.2,6.6,PBD 316
278.590833,-7.181111,024.6+00.5,8.1,PBD 317
278.501667,-7.135,024.6+00.6,14,PBD 318
279.264167,-7.414167,024.7-00.2a,6.5,PBD 319
279.264167,-7.414167,024.7-00.2b,2.2,PBD 320
279.174583,-7.368333,024.7-00.1,14.1,PBD 321
279.041667,-7.1875,024.8+00.1,8.7,PBD 322
280.702083,-7.923333,024.9-01.7,7,PBD 323
279.227083,-7.832222,025.2+00.1,3.5,PBD 324
279.63125,-6.927222,025.3-00.3,3.5,PBD 325
279.094167,-6.651667,025.3+00.3,7,PBD 326
279.6775,-6.838333,025.4-00.3,2.9,PBD 327
279.587917,-6.7925,025.4-00.2,5,PBD 328
279.40875,-6.700556,025.4+00.0,1.4,PBD 329
279.27625,-6.52,025.5+00.2,0.8,PBD 330
279.5475,-6.434167,025.7+00.0,2.4,PBD 331
279.415,-6.253333,025.8+00.2,7.6,PBD 332
279.82125,-6.124444,026.1-00.1,7.7,PBD 333
279.732083,-6.078611,026.1-00.0,3.2,PBD 334
279.334583,-5.536667,026.4+00.6,4.3,PBD 335
278.264583,-4.984722,026.4+01.8,3,PBD 336
279.559167,-5.539722,026.5+00.4,5,PBD 337
280.230417,-5.771667,026.6-00.3,5.5,PBD 338
287.476667,8.278611,042.4-00.3,0.7,PBD 511
280.051667,-5.68,026.6-00.1,11,PBD 339
279.605417,-5.450833,026.6+00.4,2,PBD 340
280.235833,-5.324444,027.0-00.1,2.4,PBD 341
280.1925,-5.189722,027.1+00.0,5.6,PBD 342
280.462917,-5.103333,027.3-00.2,9.3,PBD 343
280.37375,-5.057778,027.3-00.1,8,PBD 344
280.195,-4.966111,027.3+00.1,1.4,PBD 345
280.105833,-4.920278,027.3+00.2,0.2,PBD 346
280.197917,-4.7425,027.5+00.2,5,PBD 347
280.022083,-4.4275,027.7+00.5,9,PBD 348
279.932917,-4.381667,027.7+00.6,21.5,PBD 349
280.605833,-4.389444,028.0-00.0,4.9,PBD 350
281.1,-4.305556,028.3-00.4,1.6,PBD 351
280.743333,-4.122778,028.3-00.0,3.2,PBD 352
280.789167,-4.033889,028.4-00.0,3.8,PBD 353
281.2375,-4.038611,028.6-00.4,1.1,PBD 354
280.97,-3.901667,028.6-00.1,6,PBD 355
280.880833,-3.855833,028.6+00.0,7,PBD 356
280.7025,-3.764444,028.6+00.2,3.2,PBD 357
280.926667,-3.766944,028.7+00.0,5.4,PBD 358
281.150833,-3.769444,028.8-00.2,2.3,PBD 359
280.794167,-3.586667,028.8+00.2,7,PBD 360
280.705,-3.540833,028.8+00.3,4.2,PBD 361
277.8575,-2.074167,028.8+03.5,5.5,PBD 362
277.903333,-1.985556,028.9+03.5,7.5,PBD 363
281.59875,-3.773889,029.0-00.6,2.4,PBD 364
281.73375,-3.730556,029.1-00.7,4.4,PBD 365
281.109583,-3.411111,029.1-00.0,4.5,PBD 366
280.753333,-3.228333,029.1+00.4,5,PBD 367
281.155417,-3.322222,029.2-00.0,4.3,PBD 368
281.157917,-3.098611,029.4+00.1,5,PBD 369
281.562083,-2.968611,029.7-00.2,1.8,PBD 370
279.471667,-1.7825,029.8+02.2,0.4,PBD 371
281.475417,-2.699444,029.9-00.0,4.4,PBD 372
281.745,-2.612778,030.1-00.2,1.6,PBD 373
280.320417,-1.881944,030.1+01.4,1.2,PBD 374
281.790833,-2.523611,030.2-00.2,7.4,PBD 375
281.701667,-2.478056,030.2-00.1,2.6,PBD 376
281.83625,-2.434722,030.3-00.2,7.8,PBD 377
281.658333,-2.343611,030.3-00.0,1.7,PBD 378
281.882083,-2.345833,030.4-00.2,7,PBD 379
282.105833,-2.348056,030.5-00.4,4.3,PBD 380
282.016667,-2.3025,030.5-00.3,4.3,PBD 381
281.749583,-2.165556,030.5+00.0,2,PBD 382
281.393333,-1.983056,030.5+00.4,5.4,PBD 383
281.884167,-2.122222,030.6-00.1,2.3,PBD 384
282.107917,-2.124444,030.7-00.3,2.2,PBD 385
281.840833,-1.9875,030.7-00.0,5,PBD 386
281.886667,-1.898611,030.8-00.0,4.6,PBD 387
281.843333,-1.763889,030.9+00.1,2,PBD 388
281.977917,-1.720556,031.0+00.0,13,PBD 389
281.532917,-1.4925,031.0+00.5,2.8,PBD 390
281.44375,-1.446944,031.0+00.6,2,PBD 391
282.023333,-1.631667,031.1+00.0,4,PBD 392
281.934583,-1.586111,031.1+00.1,2.6,PBD 393
281.75625,-1.494722,031.1+00.3,2,PBD 394
282.158333,-1.588333,031.2-00.1a,4,PBD 395
282.158333,-1.588333,031.2-00.1b,4,PBD 396
282.025833,-1.408056,031.3+00.1,3,PBD 397
282.4275,-1.501389,031.4-00.3,2.5,PBD 398
282.338333,-1.455833,031.4-00.2,0.9,PBD 399
281.893333,-1.227778,031.4+00.3,0.3,PBD 400
282.785833,-1.460278,031.6-00.6,2.8,PBD 401
282.1625,-1.141111,031.6+00.1,1.1,PBD 402
281.007917,0.324444,031.8+01.5,5.2,PBD 403
281.231667,0.326667,031.9+01.3,11.8,PBD 404
280.964583,0.189722,031.9+01.6,19.1,PBD 405
283.102917,-1.060833,032.1-00.7,0.7,PBD 406
282.746667,0.878611,032.1-00.3,14,PBD 407
