N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1523,PN G355.1+03.7,259.6946,-30.9247,,,,,,,0.33,0.3,0,1.1,,,
1524,PN G346.2-02.6,259.8804,-41.8858,,,,,,,0.47,0.47,0,1,,,
1525,PN G355.9+04.1,259.9467,-30.0653,,,,,,,0.37,0.33,0,1.12121212121212,,,
1526,PN G355.4+03.6,259.9783,-30.7494,,,,,,,0.33,0.23,0,1.43478260869565,,,
1527,PHR J1720-3927,260.06,-39.4633,,,,,,,2.17,1.57,0,1.38216560509554,,,
1528,PN G358.3+05.5,260.1283,-27.3278,,,,,,,0.65,0.55,0,1.18181818181818,,,
1529,PN G342.5-05.4,260.1471,-46.555,,,,,,,0.57,0.38,0,1.5,,,
1530,PN G355.6+03.6,260.1792,-30.6433,,,,,,,0.28,0.23,0,1.21739130434783,,,
1531,[FMP2006b] Fr 2-12,260.2875,-56.9069,,,,,,,6.68,5.87,0,1.13798977853492,,,
1532,PN G354.7+02.8,260.3487,-31.8311,,,,,,,0.15,0.12,0,1.25,,,
1533,PN G355.8+03.5,260.3821,-30.4556,,,,,,,0.15,0.08,0,1.875,,,
1534,PN G354.5+02.4,260.5487,-32.1792,,,,,,,0.15,0.15,0,1,,,
1535,PN G353.6+01.7,260.6475,-33.2875,,,,,,,0.07,0.07,0,1,,,
1536,PN G354.4+02.2,260.76762,-32.38636,,,,,,,0.18,0.13,0,1.38461538461538,,,
1537,PN G355.9+03.1,260.8479,-30.6444,,,,,,,0.07,0.07,0,1,,,
1538,PHR J1724-2543,261.0179,-25.7206,,,,,,,0.18,0.17,0,1.05882352941176,,,
1539,PHR J1724-3859,261.12816447002,-38.99540571346,,,,,,,2.53,1.6,0,1.58125,,,
1540,PN G002.4+07.0,261.22176490804,-23.04297049128,,,,,,,0.22,0.22,0,1,,,
1541,PN G000.3+05.6,261.3046,-25.5711,,,,,,,0.27,0.25,0,1.08,,,
1542,PN G354.8+01.8,261.3162,-32.2697,,,,,,,0.13,0.1,0,1.3,,,
1543,PHR J1725-2338,261.42350054,-23.6424855,,,,,,,0.23,0.17,0,1.35294117647059,,,
1544,PN PBOZ 18,261.59804,-30.76078,,,,,,,0.08,0.07,0,1.14285714285714,,,
1545,PN G002.0+06.2,261.7267,-23.8578,,,,,,,0.37,0.35,0,1.05714285714286,,,
1546,PN G002.3+06.2,261.9237,-23.6481,,,,,,,0.12,0.08,0,1.5,,,
1547,PN G358.8+03.8,261.99785096887,-27.7981090524,,,,,,,0.23,0.23,0,1,,,
1548,PN G356.5+02.2,262.0321,-30.6383,,,,,,,0.32,0.25,0,1.28,,,
1549,PHR J1728-1844,262.05854,-18.74197,,,,,,,0.85,0.72,0,1.18055555555556,,,
1550,PN G356.6+02.3,262.0592,-30.5372,,,,,,,0.2,0.13,0,1.53846153846154,,,
1551,PN G000.3+04.5,262.2804,-26.2458,,,,,,,0.28,0.15,0,1.86666666666667,,,
1552,PN G002.2+05.8,262.2937,-23.9083,,,,,,,0.2,0.15,0,1.33333333333333,,,
1553,PHR J1721-5122,262.8283,-51.3675,,,,,,,0.5,0.42,0,1.19047619047619,,,
1554,PN G001.4+04.3,263.1129,-25.3803,,,,,,,0.18,0.18,0,1,,,
1555,PN G002.5+04.9,263.2425,-24.1458,,,,,,,0.52,0.52,0,1,,,
1556,PN G007.3+07.8,263.3163,-18.6044,,,,,,,0.58,0.58,0,1,,,
1557,PN G002.5+04.8,263.34454,-24.25139,,,,,,,0.32,0.25,0,1.28,,,
1558,PHR J1733-2655,263.47,-26.9239,,,,,,,0.15,0.15,0,1,,,
1559,PN G357.3+01.3,263.4925,-30.4961,,,,,,,0.35,0.28,0,1.25,,,
1560,PN G357.8+01.6,263.50658,-29.91,,,,,,,0.28,0.17,0,1.64705882352941,,,
1561,PN G354.0-00.8,263.5571,-34.4333,,,,,,,0.55,0.28,0,1.96428571428571,,,
1562,PN G006.2+06.9,263.557719,-20.01462603,,,,,,,0.33,0.32,0,1.03125,,,
1563,PN G356.9+00.9,263.643054,-31.035467,,,,,,,0.08,0.08,0,1,,,
1564,PN G357.7+01.4,263.6942,-30.0725,,,,,,,0.17,0.1,0,1.7,,,
1565,PN G350.8-03.0,263.72,-38.2886,,,,,,,0.1,0.1,0,1,,,
1566,PN G334.9-12.8,263.7462,-56.8233,,,,,,,0.6,0.6,0,1,,,
1567,PN G359.4+02.3 a,263.8,-28.1586,,,,,,,0.15,0.12,0,1.25,,,
1568,PN G004.8+05.7,263.8208,-21.775,,,,,,,0.73,0.7,0,1.04285714285714,,,
1569,PN G351.2-03.0,263.8708,-37.9906,,,,,,,0.25,0.18,0,1.38888888888889,,,
1570,PN G001.7+03.6,263.9475,-25.4619,,,,,,,0.12,0.12,0,1,,,
1571,PN G000.5+02.8,263.9817,-26.9881,,,,,,,0.38,0.38,0,1,,,
1572,PN G352.1-02.6,264.07189880509,-36.99645478279,,,,,,O(H)8If,0.3,0.23,0,1.30434782608696,,,
1573,PHR J1736-5736,264.1383,-57.6058,,,,,,,0.93,0.75,0,1.24,,,
1574,PN G003.5+04.5,264.1521,-23.5058,,,,,,,0.22,0.17,0,1.29411764705882,,,
1575,PN G003.4+04.3,264.2875,-23.69,,,,,,,0.27,0.23,0,1.17391304347826,,,
1576,PN G002.7+03.8,264.3837,-24.5942,,,,,,,0.3,0.2,0,1.5,,,
1577,PN G352.4-02.7,264.4067,-36.8383,,,,,,,0.1,0.08,0,1.25,,,
1578,PN G354.6-01.4,264.4746,-34.2408,,,,,,,0.1,0.1,0,1,,,
1579,PN G002.4+03.5,264.5012,-25.0128,,,,,,,0.28,0.23,0,1.21739130434783,,,
1580,PN G000.1+02.0,264.51402257658,-27.77171796952,,,,,,,0.27,0.27,0,1,,,
1581,PN G351.5-03.4,264.5458,-37.8947,,,,,,,0.15,0.15,0,1,,,
1582,PN G359.9+01.8,264.5492,-28.0019,,,,,,,0.07,0.07,0,1,,,
1583,PN G353.3-02.2,264.5675,-35.7747,,,,,,,0.13,0.08,0,1.625,,,
1584,PN G000.1+01.9,264.5679,-27.8022,,,,,,,0.22,0.2,0,1.1,,,
1585,PN G006.0+05.6,264.6071,-20.8717,,,,,,,0.32,0.3,0,1.06666666666667,,,
1586,PHR J1739-3829,264.8217,-38.4956,,,,,,,0.9,0.63,0,1.42857142857143,,,
1587,PN G353.5-02.6,265.0892,-35.8586,,,,,,,0.15,0.14,0,1.07142857142857,,,
1588,PN G354.5-02.0 a,265.1271,-34.6214,,,,,,,0.12,0.12,0,1,,,
1589,PN G353.3-02.9,265.209092,-36.129269,,,,,,,0.23,0.18,0,1.27777777777778,,,
1590,PN G000.9+01.8,265.2112,-27.1467,,,,,,,0.12,0.09,0,1.33333333333333,,,
1591,PN G355.6-01.4,265.2287,-33.405,,,,,,,0.15,0.15,0,1,,,
1592,PN G004.1+03.6,265.37,-23.5386,,,,,,,0.05,0.05,0,1,,,
