id,alpha,delta,diameter,long name
Mel 230,308.550114104725,7.40901980005168,1.5,Melotte 230
Mel 231,307.852127655654,60.6397402006237,5,Melotte 231
Mel 232,308.646612462607,28.3104265824998,20,Melotte 232
Mel 233,313.373345470202,-12.5391113403409,2,Melotte 233
Mel 234,322.508147941324,12.1715566957344,6,Melotte 234
Mel 235,323.362030104644,-0.823589872975385,8,Melotte 235
Mel 236,323.05235432013,48.4423366315793,30,Melotte 236
Mel 237,325.096255441989,-23.1806065118049,6,Melotte 237
Mel 238,331.297156425266,46.4860343478429,20,Melotte 238
Mel 239,332.61584710481,52.8256128435969,6,Melotte 239
Mel 240,333.811750346296,49.880836954863,20,Melotte 240
Mel 241,333.810991482484,54.3309408635599,3,Melotte 241
Mel 242,347.093046454346,-15.6253200317066,3,Melotte 242
Mel 243,351.062931890599,61.5991513485652,12,Melotte 243
Mel 244,357.456148700265,68.0225970144551,10,Melotte 244
Mel 245,359.260765042006,56.7232870144988,30,Melotte 245
