alpha,delta,id,diameter,minAxis,posAngle,Dist kpc,Size pc,axisRatio
246.86181611,-24.73804111,PGCC G352.96+16.52,9.66734,4.9401,-1.05997,0.12,0.241229,0.511
67.47679111,24.46838,PGCC G173.56-16.27,8.5278,5.41008,0.321337,0.23,0.454438,0.634
64.80152111,62.54586389,PGCC G144.48+8.72,6.49979,6.27029,0.671864,,,0.965
11.66717,52.60033389,PGCC G122.20-10.26,11.7288,4.63103,0.637862,,,0.395
84.79032889,30.09346611,PGCC G178.28-0.58,10.1873,4.96461,-1.03165,,,0.487
67.72119889,34.92337,PGCC G165.71-9.15,11.3678,4.07445,-0.386591,0.14,0.277158,0.358
107.61174,-10.55582889,PGCC G224.48-0.63,7.10887,3.71039,-1.0253,,,0.522
114.64401194,-49.86547111,PGCC G262.49-13.38,6.84445,3.92664,-1.2907,,,0.574
70.66915889,29.73141111,PGCC G171.34-10.69,8.11255,4.91317,-0.715313,0.23,0.42239,0.606
85.17836,32.31333194,PGCC G176.57+0.88,,,,,,
32.32702306,76.11224389,PGCC G127.66+13.96,7.55375,5.33765,0.962814,,,0.707
167.30712889,-76.48056806,PGCC G296.95-14.81,11.2675,5.68994,0.606056,,,0.505
75.65087889,43.91209,PGCC G162.79+1.32,12.192,5.30874,-0.415046,-1.26,,0.435
67.15248889,18.81321111,PGCC G177.90-20.16,8.68424,5.34938,-1.25292,0.23,0.456007,0.616
125.31460611,-49.86802694,PGCC G266.01-7.44,7.35484,6.02589,-0.9666,-0.86,,0.819
67.933395,18.33051111,PGCC G178.79-19.89,7.54432,4.46006,-0.090572,0.23,0.388092,0.591
315.11715694,76.12108611,PGCC G110.53+19.19,10.7881,4.44023,0.327325,0.228034,0.459093,0.412
123.78502694,-55.11532611,PGCC G269.95-11.08,10.7923,4.79348,-0.175576,0.32,0.669513,0.444
287.64682,-78.60199,PGCC G315.76-27.49,6.26294,4.95615,0.564877,,,0.791
200.807755,-47.90812306,PGCC G308.43+14.62,9.1725,6.54936,0.603173,,,0.714
264.07205194,-76.48104889,PGCC G316.75-22.11,8.55658,5.92475,-1.01297,,,0.692
1.03572194,68.64554611,PGCC G118.63+6.17,7.95322,6.01605,-1.49316,,,0.756
86.11775194,31.31171194,PGCC G177.84+1.03,8.25846,6.25091,0.191025,0.300608,0.628273,0.757
259.53183,-78.86981194,PGCC G313.98-22.30,11.0605,4.28285,0.828278,,,0.387
310.21109,18.52156389,PGCC G62.68-14.06,10.9286,3.66901,0.917769,,,0.336
324.96463,43.25088889,PGCC G89.94-7.02,8.81581,4.25376,1.19142,,,0.483
323.20410194,76.36525,PGCC G112.05+17.90,6.30228,5.59107,-0.777957,,,0.887
267.37045306,-27.55234111,PGCC G1.62-0.01,8.7396,5.82398,-0.827267,6.57,13.6348,0.666
36.891205,-84.68985694,PGCC G300.39-31.95,8.93635,4.10456,-0.12356,,,0.459
143.93611111,-45.58851611,PGCC G270.97+4.79,7.27395,5.1664,-0.947104,1.32,2.35386,0.710
263.81320194,-39.21821194,PGCC G350.14-3.63,7.6449,6.48001,1.38929,,,0.848
291.71203611,-78.388725,PGCC G315.99-28.31,12.2642,5.80412,-1.56167,,,0.473
66.99977111,18.96286194,PGCC G177.68-20.17,8.33073,6.72192,-1.09452,0.23,0.50066,0.807
36.03496194,-85.25213611,PGCC G300.74-31.48,8.72534,4.3737,0.170631,,,0.501
238.90426611,-37.80200194,PGCC G338.49+12.04,8.08337,5.36035,1.38675,-1.03,,0.663
173.09024,-69.69520611,PGCC G296.13-7.88,11.4004,5.91276,-0.109646,0.26,0.620948,0.519
126.40531194,-51.04460111,PGCC G267.38-7.53,6.17089,4.09184,-1.39139,,,0.663
56.45315611,36.99794,PGCC G157.50-13.91,12.6363,4.16641,-0.81961,,,0.330
11.41621889,51.86207194,PGCC G122.02-11.00,11.1989,5.13139,-0.630061,,,0.458
284.99304194,-36.983585,PGCC G359.76-17.50,,,,0.25,,
62.44828389,40.12577389,PGCC G158.99-8.47,5.83818,3.58958,0.066933,0.14,0.18643,0.615
112.80201694,-47.16910611,PGCC G259.45-13.29,8.4581,4.23686,1.51543,,,0.501
35.55915806,19.92832194,PGCC G150.37-38.06,7.31635,5.15287,-0.602646,0.149968,0.267853,0.704
217.608215,-53.95946889,PGCC G317.27+6.13,8.83142,5.23937,1.22021,,,0.593
53.95196194,37.67928694,PGCC G155.45-14.60,7.4158,5.45292,-1.41169,0.35,,0.735
257.80227694,-45.97652389,PGCC G342.05-3.78,8.43032,4.85451,-0.658676,0.8,1.48871,0.576
9.98096806,10.06949111,PGCC G118.25-52.70,10.0341,6.87274,-0.448477,0.264241,0.63831,0.685
222.11540194,-65.28868111,PGCC G314.77-5.14,8.35676,4.60419,-0.274535,0.4,0.721743,0.551
66.54702,23.35170194,PGCC G173.86-17.65,8.41469,4.00355,-0.074786,0.23,0.388326,0.476
246.59379611,-24.28359611,PGCC G353.15+17.00,8.35195,4.89115,-0.426851,0.12,0.223104,0.586
91.89143389,-5.18609,PGCC G212.58-12.11,8.9738,5.02082,-0.204856,0.415,0.810309,0.559
77.6222,10.74660611,PGCC G191.05-16.73,18.4088,3.73819,0.265009,,,0.203
86.42755111,9.09200194,PGCC G197.13-10.17,17.0798,3.81506,0.764143,0.4,0.939247,0.223
239.98982194,-1.53582694,PGCC G8.43+36.37,8.52989,6.32448,0.139696,,,0.741
83.78434,25.80397,PGCC G181.42-3.63,11.2825,3.35213,0.098142,,,0.297
314.85739111,76.43695111,PGCC G110.76+19.43,7.7166,4.96543,0.125135,0.236592,0.426008,0.643
324.30148306,43.3624,PGCC G89.66-6.61,7.19984,4.62694,1.38337,0.54,0.906627,0.643
121.57904806,60.34444806,PGCC G156.69+32.52,8.13375,5.89695,-0.283153,,,0.725
259.582855,-77.77378806,PGCC G315.02-21.79,6.21772,5.89164,0.649903,,,0.948
250.34346,-19.25134694,PGCC G359.54+17.54,9.08766,4.69525,0.591988,0.12,0.228015,0.517
93.46736889,-9.36390889,PGCC G217.13-12.56,8.16395,6.48351,-0.829092,0.415,0.878274,0.794
185.60751306,-72.14014389,PGCC G300.68-9.40,10.6109,5.35358,1.39566,0.25,0.548108,0.505
230.02284194,-29.50602889,PGCC G337.80+23.12,8.74426,7.46677,1.53529,,,0.854
90.207985,-10.04937694,PGCC G216.32-15.75,5.79696,4.39572,0.062161,0.415,0.609382,0.758
44.13577694,19.63687306,PGCC G159.21-34.28,7.38459,6.23027,1.11698,0.325,0.641249,0.844
335.03964194,63.450535,PGCC G106.95+5.37,11.9612,4.69835,1.18119,0.9,1.96259,0.393
79.24564389,-7.741865,PGCC G209.08-24.50,7.35905,4.3012,-0.601133,,,0.584
67.98415389,24.54911806,PGCC G173.81-15.87,8.28687,5.4159,-0.2133,0.23,0.448214,0.654
31.368645,20.59429889,PGCC G145.42-39.02,9.82229,4.12542,-0.999213,,,0.420
63.43052306,28.25405694,PGCC G168.10-16.38,16.240999,3.74303,-0.340659,0.14,0.317521,0.230
197.195465,-78.13925194,PGCC G303.86-15.30,7.47789,3.5547,0.444783,0.17,0.254957,0.475
308.36657694,64.021255,PGCC G98.89+14.01,5.91013,4.23855,-0.66168,,,0.717
303.33438111,-1.34599111,PGCC G41.35-18.78,11.6872,5.31572,0.437506,,,0.455
91.46455389,-7.17984194,PGCC G214.22-13.38,6.60695,6.03407,-1.258,0.415,0.76222,0.913
111.16909806,-24.54247889,PGCC G238.45-4.15,9.09224,7.03287,-0.169416,,,0.774
79.87528194,13.26480806,PGCC G190.09-13.51,7.85936,6.0944,-0.489938,,,0.775
90.484215,-9.03596,PGCC G215.50-15.07,7.5012,5.68625,0.261233,0.415,0.788412,0.758
253.79948389,-16.35073889,PGCC G4.03+16.64,7.86232,5.47508,-0.106757,,,0.696
306.63107306,22.88348806,PGCC G64.37-8.81,8.36793,6.71057,0.345573,,,0.802
155.72351111,-55.32063306,PGCC G282.83+1.65,13.3845,5.02404,-0.415677,2.99,7.13224,0.375
174.25158694,-75.81758111,PGCC G298.32-13.62,7.25191,6.14344,-0.182561,0.17,0.330071,0.847
343.18664611,68.82658389,PGCC G112.52+8.39,7.01743,4.95262,0.010838,,,0.706
234.85859694,-34.77008111,PGCC G337.90+16.46,5.93626,5.18069,-0.943807,,,0.873
