alpha,delta,MWSC Id,id,diameter
200.28000,-61.92500,2110,FSR 1645,20.4
200.45400,-53.23800,2111,FSR 1652,18
200.70000,-73.57500,2112,FSR 1642,15.6
200.96250,-66.16000,2113,Collinder 269,25.2
200.91450,-63.63800,2114,Teutsch 79,12
200.86500,-41.88000,2115,ESO 324-15,12
201.06000,-59.81000,2116,Loden 821,26.4
201.15750,-62.49500,2117,Loden 807,21.6
201.38250,-58.98500,2118,FSR 1651,18.84
201.69750,-47.48000,2120,NGC 5139,99
201.79500,-59.03000,2121,NGC 5138,16.8
201.96750,-62.33000,2122,Basel 18,18.6
202.32000,-61.21200,2123,Hogg 16,15
202.29000,-71.26500,2124,ESO 065-07,13.2
202.47000,-63.45500,2125,NGC 5155,19.8
202.53000,-64.20000,2126,Collinder 271,13.2
202.50750,-58.73000,2127,FSR 1657,13.8
202.58250,-61.33500,2128,Collinder 272,24.6
202.77000,-60.94000,2129,NGC 5168,14.4
203.05500,-62.80000,2131,Trumpler 21,19.2
203.05500,-58.46500,2132,Ruprecht 108,20.4
203.21250,-60.45500,2133,DBSB 87,9
203.46000,-63.04000,2134,FSR 1653,14.4
203.57250,-59.29500,2135,Loden 915,33.6
203.59500,-64.55000,2136,Loden 848,27
203.65500,-62.41700,2137,C1331-622,14.4
203.63250,-60.21300,2138,Collinder 275,15
203.91300,-68.11300,2139,FSR 1650,18.6
203.95500,-58.81000,2140,ASCC 74,21.6
204.13500,-62.19000,2141,ESO 132-14,12
204.23250,-62.06500,2142,Pismis 18,18
204.47250,-63.32000,2143,vdBergh-Hagen 150,12
204.50400,-62.48500,2144,FSR 1659,19.2
204.50250,-43.18000,2145,FSR 1672,18.6
204.92100,-64.32000,2146,Loden 894,14.4
205.06500,-61.73000,2147,vdBergh-Hagen 151,7.8
205.27050,-60.19700,2148,FSR 1663,11.4
205.33500,-66.63700,2149,FSR 1656,12.6
205.29000,-59.22500,2150,Platais 10,120
205.52250,-67.70000,2151,FSR 1654,11.4
205.54800,+28.37700,2152,NGC 5272,52.8
205.79250,-63.16000,2153,SAI 118,16.8
205.85400,-63.00000,2154,Dias 4,15.6
206.18250,-62.89200,2156,NGC 5269,19.2
206.27250,-60.23000,2157,Loden 1010,18.6
206.31750,-62.03500,2158,Loden 991,13.2
206.42250,-73.96000,2159,FSR 1647,20.4
206.61150,-51.37400,2160,NGC 5286,22.2
206.64000,-62.92500,2161,NGC 5281,25.8
206.60250,-59.20000,2162,NGC 5284,25.2
206.81250,-62.40000,2163,ASCC 75,19.2
207.06000,-66.07500,2166,Collinder 277,15.6
207.15000,-61.45500,2167,FSR 1666,23.4
207.18300,-64.69500,2168,NGC 5288,14.4
207.53250,-50.66700,2169,FSR 1673,14.4
207.60750,-59.94500,2170,NGC 5299,13.2
208.05750,-66.40500,2171,ASCC 76,26.4
208.14750,-63.40500,2173,Platais 12,68.4
208.40250,-59.74500,2174,Loden 1095,15
208.48500,-61.87000,2175,NGC 5316,31.2
208.57500,-64.95000,2176,Loden 995,19.8
208.65000,-65.33500,2177,Loden 1002,16.8
208.65900,-41.76800,2178,FSR 1683,21
208.66200,-31.95000,2179,ESO 445-74,12
208.72500,-61.57500,2180,FSR 1668,16.8
208.76250,-70.75000,2181,FSR 1658,17.64
209.07000,-61.75000,2184,FSR 1669,14.4
209.37750,-42.87000,2185,FSR 1684,19.2
209.37450,-59.58000,2186,vdBergh-Hagen 155,15.6
209.48250,-69.36500,2188,FSR 1661,12
209.54250,-61.75000,2189,Loden 1101,18.6
209.77500,-57.87500,2190,Loden 1177,16.8
209.84250,-58.38400,2191,Loden 1171,17.4
209.86500,-59.33000,2192,Loden 1152,17.4
210.00000,-62.15000,2193,Lynga 1,18.6
210.00000,-70.40000,2194,NGC 5359,20.4
210.07500,-49.76500,2195,FSR 1676,17.4
210.16500,-59.60500,2196,NGC 5381,19.2
211.09950,-58.70000,2197,Loden 1202,13.2
211.38000,+28.53400,2198,NGC 5466,24.6
211.41000,-67.47500,2199,Ruprecht 110,22.2
211.45500,-59.74500,2200,Loden 1194,21.6
211.65900,-58.12000,2201,FSR 1674,18.6
211.89000,-48.33000,2202,NGC 5460,45.6
212.16000,-61.17700,2203,DBSB 135,8.4
212.34000,-59.72500,2204,Loden 1225,25.2
212.70000,-62.33000,2205,ASCC 77,31.8
213.55500,-57.86000,2206,Loden 1289,16.8
213.85500,-64.63000,2207,ESO 097-15,14.4
213.96600,-78.51500,2208,ESO 021-06,19.8
213.96000,-59.12000,2209,Loden 1282,16.2
214.50000,-61.42500,2210,Loden 1256,22.8
214.59300,-58.98800,2211,Ruprecht 167,24
214.69500,-56.89000,2212,ESO 175-06,23.4
214.90500,-65.43200,2213,DBSB 88,10.2
215.42250,-72.08500,2214,FSR 1667,18.6
216.11250,-61.33000,2215,Lynga 2,24
216.25050,-60.37500,2216,DBSB 136,8.4
216.40500,-54.80000,2217,NGC 5593,16.2
216.94500,-59.63000,2218,NGC 5606,13.8
217.14000,-60.02000,2219,FSR 1680,13.8
217.29750,-58.71000,2220,FSR 1682,21.6
217.40550,-05.97600,2222,NGC 5634,13.8
217.44750,-60.71500,2223,NGC 5617,17.4
217.53000,-58.21500,2224,Loden 1378,18
217.65000,-60.88500,2225,Pismis 19,14.4
217.73250,-61.16500,2226,Trumpler 22,18
218.08350,-53.70000,2227,FSR 1690,14.4
218.08500,-35.82000,2228,IC 1023,16.2
218.06250,-56.89500,2229,Turner 7,13.8
218.37150,-62.01700,2230,Loden 1339,11.4
218.40900,-49.16500,2231,FSR 1695,13.8
218.49750,-61.34700,2232,Hogg 17,15
218.65500,-56.11500,2233,FSR 1688,13.8
218.89500,-56.61500,2234,NGC 5662,29.4
219.00000,-59.98000,2235,Ruprecht 111,16.8
219.33750,-29.39500,2236,ESO 447-29,18
219.91500,-44.07000,2237,FSR 1699,18.6
219.90150,-26.53900,2238,NGC 5694,11.4
220.13250,-66.12000,2240,Alessi 6,46.8
220.07100,-60.37200,2241,FSR 1686,13.8
220.39500,-62.89000,2243,Loden 1373,20.4
220.50900,-60.51000,2244,DBSB 137,6.6
220.87500,-57.56700,2245,NGC 5715,13.8
221.08500,-63.40500,2246,Loden 1375,17.4
221.14500,-64.74000,2247,FSR 1678,16.8
221.19750,-59.14200,2248,ESO 134-12,13.2
221.16750,-61.71500,2249,Loden 1409,31.2
221.25750,-59.83300,2250,DBSB 89,7.8
221.25000,-62.92500,2251,Cir OB1,42
221.72250,-59.48700,2254,FSR 1689,14.4
221.91000,-66.39000,2255,vdBergh-Hagen 164,44.4
222.19500,-54.48500,2256,NGC 5749,25.2
222.67500,-52.27000,2257,Hogg 18,19.2
223.35000,-60.48500,2258,Teutsch 80,17.4
223.38750,-52.67300,2259,NGC 5764,18
224.22750,-83.44500,2260,ESO 008-06,22.2
224.23500,-62.57300,2261,Ruprecht 112,19.2
224.31000,-64.94500,2262,FSR 1685,10.2
225.07650,-82.21400,2263,IC 4499,16.8
225.30000,-57.66500,2264,FSR 1696,13.8
225.44550,-51.91700,2265,NGC 5800,16.8
225.90000,-57.68000,2266,DBSB 92,12
225.99450,-33.06800,2267,NGC 5824,16.8
226.06650,-45.55000,2268,FSR 1705,8.4
226.11750,-54.39000,2269,NGC 5822,66
226.40250,-68.40500,2270,ASCC 78,18.6
226.32450,-57.52800,2271,IRAS 15015-5720,6.96
226.38000,-55.59500,2273,NGC 5823,13.2
226.67550,-56.51700,2274,FSR 1697,12.6
226.92750,-54.52200,2275,Loden 2115,22.8
227.51250,-58.28700,2276,DBSB 140,9
227.50500,-58.42600,2277,DBSB 139,7.44
227.64000,-58.77000,2278,Loden 2045,19.2
227.87250,-37.36500,2279,FSR 1720,22.2
228.80250,-62.77500,2280,FSR 1694,15.6
228.84600,-59.06700,2281,Pismis 20,10.2
229.02150,-00.11200,2282,Palomar 5,16.8
229.18500,-59.65500,2283,Pismis 21,13.2
229.20750,-58.34000,2284,Lynga 3,12.6
229.35150,-21.01000,2285,NGC 5897,34.2
229.63800,+02.08100,2286,NGC 5904,52.8
229.71750,-56.66000,2287,DBSB 93,12
229.66500,-60.63000,2288,ASCC 79,61.2
230.24100,-59.62000,2289,FSR 1698,15
231.18750,-60.12800,2290,ASCC 80,37.8
231.25500,-35.63500,2291,FSR 1728,17.4
231.45750,-64.82000,2292,FSR 1693,16.8
231.89250,-54.51700,2293,NGC 5925,16.2
231.88350,-41.05000,2294,ESO 329-02,11.4
232.00350,-50.67300,2295,NGC 5927,24
232.11000,-56.99700,2296,FSR 1701,12
232.14750,-56.37500,2297,DBSB 141,7.2
232.36500,-51.25500,2298,Alessi 8,31.2
232.45050,-64.85000,2299,ESO 099-06,12.6
233.33250,-55.24000,2302,Lynga 4,23.4
233.41500,-58.13500,2303,Loden 2159,16.8
233.46000,-53.68000,2304,Harvard 9,14.4
233.76750,-58.27500,2305,Loden 2158,16.8
233.86950,-50.66000,2306,NGC 5946,14.4
234.70500,-59.25300,2307,FSR 1700,13.8
234.77250,-50.05100,2308,vdBergh-Hagen 176,12
235.23750,-52.46000,2309,Loden 2313,22.2
235.47450,-56.65000,2310,Lynga 5,19.2
235.49250,-54.98000,2311,FSR 1703,13.8
235.57500,-53.96000,2312,DBSB 94,9
235.91250,-52.47000,2313,Loden 2326,13.2
236.51250,-37.78600,2317,NGC 5986,19.8
236.56200,-52.37800,2318,Johansson 1,36
236.69250,-50.99500,2319,ASCC 81,19.2
236.76000,-64.41200,2320,ASCC 82,25.2
237.16500,-50.21500,2321,FSR 1715,9
237.36000,-50.60300,2322,FSR 1714,20.4
237.36000,-28.58300,2323,NGC 5998,16.8
237.51000,-57.63800,2324,Collinder 292,20.4
237.51750,-52.79000,2325,ASCC 83,20.4
238.04250,-56.46700,2326,NGC 5999,12
238.44000,-49.51000,2328,FSR 1719,13.2
238.53750,-53.18000,2329,DBSB 149,5.4
238.68000,-52.48000,2332,FSR 1712,20.4
238.73250,-60.74500,2333,ASCC 84,24
238.77750,-46.01000,2335,FSR 1723,18.6
238.99500,-57.44000,2336,NGC 6005,15.6
239.38500,-59.49500,2337,Ruprecht 113,54
239.37000,-54.37500,2338,FSR 1709,18
239.45250,-36.19500,2339,ESO 389-05,13.44
240.21750,-53.53300,2343,Trumpler 23,19.8
240.37500,-54.11700,2346,Moffat 1,12
240.81750,-60.40000,2347,NGC 6025,41.4
241.22250,-51.92500,2348,Lynga 6,15
241.40250,-20.48500,2349,Dolidze 50,15
241.58400,-56.86700,2350,Ruprecht 114,15
241.59750,-50.72500,2351,DBSB 159,7.8
241.91250,-54.01800,2352,NGC 6031,16.8
241.90800,-52.53000,2353,DBSB 153,10.8
241.98000,-39.35000,2354,FSR 1736,12.6
242.37000,-52.25000,2355,DBSB 154,7.2
242.55000,-52.13500,2356,DBSB 155,6.6
242.64000,-49.01300,2357,DBSB 101,13.8
242.62050,-77.66000,2358,FSR 1675,16.2
242.67000,-53.75000,2359,FSR 1716,19.2
242.76300,-55.31400,2361,Lynga 7,11.4
242.79750,-51.52500,2363,DBSB 158,13.8
243.04050,-51.47500,2365,DBSB 144,7.2
243.06300,-52.04600,2366,DBSB 156,9
243.08400,-51.77100,2367,DBSB 157,14.4
243.24000,-52.42700,2368,Ruprecht 115,16.8
243.25500,-50.39000,2369,DBSB 99,14.4
243.30000,-54.22000,2370,NGC 6067,28.2
243.55500,-51.86500,2371,Pismis 22,15.6
243.66000,-51.33300,2373,Ruprecht 176,10.2
243.75450,-49.85000,2374,DBSB 102,7.2
244.26000,-22.97600,2376,NGC 6093,20.4
244.27050,-50.79200,2377,DBSB 161,8.4
244.35750,-31.20000,2378,FSR 1749,15.6
244.59450,-40.22000,2379,FSR 1737,10.8
244.68000,-50.31600,2380,DBSB 163,9.6
244.73250,-54.92000,2381,Harvard 10,45.6
244.71000,-57.94000,2382,NGC 6087,38.4
244.77150,-42.12900,2383,FSR 1734,13.2
244.85250,-50.15000,2385,DBSB 164,7.2
245.01600,-50.21700,2386,Lynga 8,9
245.10900,-50.90700,2387,DBSB 100,7.2
245.11500,-50.69500,2388,DBSB 162,5.4
245.17050,-48.51700,2389,Lynga 9,12
245.37750,-50.01000,2390,DBSB 166,6
245.85000,-52.00000,2393,Ruprecht 116,15.6
245.85750,-49.54500,2394,DBSB 167,6.6
245.85750,-51.88000,2395,Ruprecht 117,9.6
245.89650,-26.52600,2396,NGC 6121,106.2
245.91750,-24.45500,2397,Grasdalen 1,23.4
245.96250,-32.01000,2398,FSR 1751,13.8
245.99100,-48.89500,2399,Pismis 23,9
246.06750,-51.15500,2400,ESO 226-06,9.6
246.12750,-61.73300,2401,ESO 137-23,15.6
246.18000,-51.94000,2402,Ruprecht 118,16.8
246.31500,-40.65000,2403,NGC 6124,54.6
246.45000,-72.20200,2404,NGC 6101,15
246.80700,-26.02400,2409,NGC 6144,18.6
246.91800,-38.84900,2411,NGC 6139,15.6
246.95250,-49.15500,2412,NGC 6134,26.4
247.05000,-51.51000,2413,Ruprecht 119,15.6
247.16700,-35.35300,2414,Terzan 3,19.2
247.26000,-49.09700,2415,Hogg 19,14.4
247.24500,-49.60300,2416,DBSB 170,9
247.28700,-27.96100,2417,FSR 1761,21.6
247.39950,-47.30000,2418,Patchick 94,7.8
247.45500,-49.75200,2419,FSR 1727,16.8
247.60500,-50.12500,2420,FSR 1725,13.8
247.76250,-24.27500,2421,FSR 1772,48
248.13300,-13.05400,2422,NGC 6171,27.6
248.17500,-52.64000,2423,NGC 6152,22.8
248.52750,-44.01600,2424,NGC 6169,13.2
248.67000,-49.78500,2425,NGC 6167,25.2
248.79000,-48.30000,2426,Ruprecht 120,13.8
248.83350,-50.99000,2427,Collinder 307,13.8
248.94750,-45.62500,2428,NGC 6178,22.8
249.10500,-08.93500,2429,Dolidze 27,27
249.14550,-35.01500,2430,FSR 1748,12
249.51750,-57.09500,2432,FSR 1718,8.4
249.53250,-46.29500,2433,Lynga 11,10.2
249.53250,-47.07800,2434,DBSB 171,9
249.71250,-47.29300,2435,DBSB 169,8.4
249.85650,-28.39900,2436,1636-283,9
250.01250,-48.77700,2437,DBSB 103,7.8
250.06200,-45.66000,2439,DBSB 173,7.2
250.08750,-43.36000,2440,NGC 6192,28.2
250.09950,-43.74000,2441,ESO 277-04,9
250.21500,-16.03000,2442,FSR 0010,13.8
250.34250,-48.75500,2444,NGC 6193,27.6
250.42200,+36.46000,2445,NGC 6205,56.4
250.44750,-46.15000,2446,Ruprecht 121,28.8
251.04000,-47.46500,2450,NGC 6200,28.8
251.13750,-47.65500,2451,Hogg 20,16.8
251.21550,-58.86000,2452,FSR 1713,10.8
251.30850,-72.83100,2453,FSR 1692,13.8
251.37750,+38.36000,2454,Dol-Dzim 6,33.6
251.40000,-47.74700,2455,Hogg 21,14.4
251.51250,-50.74000,2456,Lynga 12,18
251.53500,-47.02000,2457,NGC 6204,17.4
251.62500,-45.85000,2458,vdBergh-Hagen 197,10.2
251.65500,-47.09000,2459,Hogg 22,9
251.74500,+47.52800,2460,NGC 6229,19.8
251.76600,-45.83300,2461,Westerlund 1,10.2
251.77500,-25.80500,2462,ESO 518-03,27.6
251.80950,-01.94900,2464,NGC 6218,36
251.95500,-45.49000,2465,ASCC 85,28.2
252.04500,-45.35000,2466,DBSB 174,6
252.10350,-61.75000,2467,ESO 137-43,10.8
252.23250,-43.42800,2468,Lynga 13,9
252.33750,-44.72000,2469,NGC 6216,16.8
252.34500,-53.71500,2470,NGC 6208,25.2
252.48300,-44.20500,2471,vdBergh-Hagen 200,13.8
252.61500,-44.73000,2472,NGC 6222,12
252.67500,-39.08000,2473,FSR 1746,16.8
252.88500,-42.39300,2474,FSR 1744,14.4
253.02000,-34.94600,2475,FSR 1756,8.4
253.05000,-47.05500,2476,FSR 1735,7.2
253.14750,-43.39600,2478,DBSB 175,7.2
253.35600,-22.17700,2479,NGC 6235,18
253.56000,-41.83000,2481,NGC 6231,48
253.59000,-45.29800,2482,DBSB 106,7.44
253.69500,-40.71500,2483,ESO 332-08,21.6
253.74750,-45.24000,2484,Lynga 14,11.4
253.77750,-49.32500,2485,FSR 1732,16.8
253.79550,-40.94000,2486,vdBergh-Hagen 202,13.2
253.89000,-39.46000,2488,NGC 6242,25.8
253.93500,-15.99500,2489,FSR 0014,16.8
254.02500,-40.78000,2490,ESO 332-11,12
254.03550,-40.68000,2491,vdBergh-Hagen 205,10.8
254.10450,-53.07200,2492,FSR 1729,13.8
254.16600,-40.57500,2494,ESO 332-13,11.4
254.28750,-04.10000,2498,NGC 6254,31.8
254.40000,-44.80000,2499,NGC 6249,22.8
254.49000,-45.95000,2500,NGC 6250,30.6
254.76750,-33.16000,2501,FSR 1763,13.2
254.77050,-52.70000,2502,NGC 6253,21.6
254.81250,-40.12000,2504,DBSB 115,9
254.85750,-42.57500,2505,DBSB 176,10.2
254.88600,-37.12100,2506,NGC 6256,14.4
254.96250,-00.53300,2509,Palomar 15,8.4
255.12000,-40.56200,2510,DBSB 113,7.2
255.22500,-44.69000,2511,NGC 6259,20.4
255.30300,-30.11400,2512,NGC 6266,25.2
255.56250,-58.97000,2513,ASCC 86,60
255.52500,-38.86500,2514,FSR 1750,15
255.53250,-26.78200,2515,FSR 1778,12.6
255.53250,-39.71500,2516,NGC 6268,22.2
255.55500,-41.78500,2517,DBSB 178,20.4
255.54600,-41.11000,2518,vdBergh-Hagen 211,12.6
255.65700,-26.26800,2519,NGC 6273,25.2
255.75000,-28.45000,2520,ASCC 87,36
255.81750,-47.15200,2521,FSR 1739,12
255.87750,-08.83800,2522,FSR 0041,19.2
255.96300,-48.08300,2523,Harvard 13,13.2
255.99750,-51.09000,2524,DBSB 104,13.2
256.07250,-42.33400,2525,DBSB 177,9
256.08000,-42.07000,2526,Teutsch 84,19.2
256.08750,-19.45000,2527,ESO 587-04,13.8
256.11000,-24.76500,2528,NGC 6284,25.2
256.18500,-74.35000,2529,ESO 043-13,16.8
256.17000,-37.98000,2530,NGC 6281,38.4
256.23000,-31.04500,2531,FSR 1769,12.6
256.22850,-38.31700,2532,ESO 332-20,13.2
256.28850,-22.70800,2533,NGC 6287,20.4
256.41750,-36.66700,2534,vdBergh-Hagen 214,13.2
256.71000,-35.58000,2536,ASCC 88,64.8
256.85250,-40.81700,2537,ESO 332-22,21.6
257.40000,-41.59500,2538,DBSB 116,9
257.54250,-26.58200,2539,NGC 6293,18.6
257.64000,-25.07500,2540,FSR 1786,13.8
257.82750,-45.90000,2543,DBSB 108,7.2
257.85000,-39.17900,2544,DBSB 179,13.8
258.15000,-33.35500,2546,Sco OB4,94.2
258.30000,-39.66000,2547,Teutsch 85,10.2
258.52500,-10.48000,2548,FSR 0042,14.4
258.63450,-29.46200,2550,NGC 6304,15.6
258.74250,-39.08500,2551,FSR 1754,15.6
259.04550,-39.41700,2552,NGC 6318,13.2
259.08000,-40.81000,2553,vdBergh-Hagen 217,12
259.15500,-28.14000,2554,NGC 6316,14.4
259.28100,+43.13600,2557,NGC 6341,48.6
259.32000,-36.33500,2558,DBSB 123,10.8
259.33050,-35.55000,2559,Bochum 13,18.6
259.49700,-23.76600,2560,NGC 6325,12
259.61250,-42.93000,2562,NGC 6322,17.4
259.66500,-32.33000,2563,vdBergh-Hagen 221,24
259.68750,-38.29500,2564,vdBergh-Hagen 222,19.8
259.72500,-38.81700,2565,Havlen-Moffat 1,16.8
259.79700,-18.51600,2567,NGC 6333,23.4
260.17050,-35.88300,2575,vdBergh-Hagen 223,8.4
260.21250,-36.11500,2577,NGC 6334,29.4
260.29200,-19.58700,2580,NGC 6342,24.6
260.80350,-37.75800,2581,DBSB 120,10.8
260.83500,-62.65000,2582,ASCC 89,90
260.88000,-37.92500,2584,Ruprecht 123,18.6
260.89500,-17.81300,2585,NGC 6356,20.4
260.99400,-26.35300,2586,NGC 6355,10.8
261.09750,-39.01700,2587,Trumpler 25,19.2
261.16950,-34.21300,2588,NGC 6357,13.2
261.39000,-34.40000,2589,Pismis 24,10.8
261.22500,-49.93500,2590,IC 4651,28.8
261.37500,-29.97500,2591,NGC 6360,17.4
261.37200,-48.42200,2592,NGC 6352,26.4
261.38250,-36.36600,2593,BDSB 164,9
261.49500,+24.18300,2597,Dol-Dzim 8,19.8
261.71700,-34.68300,2598,ESO 392-13,15
261.78600,-07.08300,2599,IC 1257,13.2
261.88800,-30.80200,2600,Terzan 2,11.4
261.93450,-05.08000,2601,NGC 6366,54
262.00500,-40.73000,2602,Ruprecht 124,14.4
262.13250,-29.48500,2604,Trumpler 26,18.6
262.23750,-31.58000,2605,Antalova 1,28.2
262.24500,-36.56200,2606,BDSB 166,6
262.32000,-36.65300,2607,BDSB 165,6.6
262.41750,-40.45000,2608,Ruprecht 125,19.2
262.44000,-15.63500,2609,FSR 0033,10.8
262.41000,-32.48000,2610,Antalova 2,15
262.60050,-33.19000,2611,DB2001 41,9
262.65750,-32.20500,2613,Antalova 3,13.2
262.66200,-31.59600,2614,Terzan 4,21
262.77150,-29.96700,2615,vdBergh-Hagen 229,15.6
262.81500,-36.80500,2616,Harvard 16,21.6
262.90500,-39.84000,2617,FSR 1758,14.4
262.90500,-34.01000,2618,Collinder 333,15.6
262.97850,-67.04800,2619,NGC 6362,27.6
262.98750,-31.91000,2620,vdBergh-Hagen 231,25.2
263.02500,-17.88300,2621,FSR 0027,13.44
263.13300,-27.07500,2623,FSR 0002,10.8
263.18250,-32.95500,2624,Antalova 4,19.2
263.23500,-32.57000,2625,BDSB 102,12
263.33250,-29.16500,2626,IRAS 17301-2917,10.8
263.37450,-29.32300,2628,Terzan-Ju 20,12
263.61600,-39.06700,2629,NGC 6380,15
263.64000,-36.65000,2630,FSR 1766,13.8
263.68500,-32.57700,2631,NGC 6383,27
263.75400,-34.30500,2632,Ruprecht 126,16.8
263.91000,-21.07000,2633,FSR 0019,10.8
263.92500,-36.35500,2634,FSR 1767,13.8
263.94900,-30.46700,2635,Terzan 1,9.6
264.04350,-38.55000,2637,Pismis 26,13.2
264.07200,-44.73600,2638,NGC 6388,26.4
264.09000,-33.52000,2639,Trumpler 27,30
264.23700,-42.23500,2640,ESO 334-02,13.2
264.25500,-32.48000,2641,Trumpler 28,21
264.40050,-03.24600,2643,NGC 6402,36
264.40500,-35.02200,2644,NGC 6396,12
264.45750,-58.14500,2646,ESO 139-13,18
264.46800,-36.30400,2649,Ruprecht 127,10.8
264.47250,-08.08500,2650,Mamajek 2,37.2
264.55050,-37.70000,2651,Collinder 338,33
264.58800,+05.72100,2652,FSR 0091,13.2
264.65250,-23.91000,2653,NGC 6401,16.8
264.66600,-35.65000,2654,ESO 393-12,12.6
264.78000,-34.81500,2655,ASCC 90,36.6
264.83250,-23.65800,2657,Dutra-Bica 60,6.6
264.91500,-33.23300,2658,NGC 6404,15
264.96750,-09.11000,2659,FSR 0050,13.8
265.05000,-36.94500,2660,NGC 6400,22.8
265.08000,-32.21500,2661,NGC 6405,54
265.17600,-53.67400,2662,NGC 6397,48.6
265.37250,-40.12000,2663,Trumpler 29,17.4
265.42950,-19.57100,2664,FSR 0025,9.6
265.90500,-34.21300,2667,ESO 393-15,10.8
265.90050,-24.71800,2668,ESO 520-20,9
265.92600,-26.21700,2669,Palomar 6,12
266.29500,-47.18500,2670,Alessi 9,106.8
266.07000,-34.88500,2672,Ruprecht 128,9
266.09250,-32.36500,2673,NGC 6416,28.8
266.22150,-29.68000,2675,DB2001 42,12
266.22750,+03.17000,2676,NGC 6426,21.6
266.26800,-28.84800,2677,Dutra-Bica 58,10.8
266.37000,-26.69700,2679,Dutra-Bica 33,10.8
266.43750,+07.48400,2682,FSR 0096,12
266.48250,-14.66000,2685,FSR 0043,10.2
266.56650,-29.70000,2687,vdBergh-Hagen 245,22.8
266.59500,-29.32500,2688,Collinder 347,15.6
266.56500,+05.69500,2689,IC 4665,84
266.64300,-24.89500,2690,Dutra-Bica 44,8.4
266.74500,-31.53000,2691,NGC 6425,18.6
266.82450,-24.89300,2695,Dutra-Bica 45,10.8
266.82450,-29.61700,2696,Ruprecht 129,12.6
266.86800,-33.06600,2697,Djorg 1,14.4
266.88300,-30.09000,2698,Ruprecht 130,10.2
267.02100,-24.78000,2699,Terzan 5,8.4
267.05250,+01.36000,2700,Collinder 350,66
267.21900,-20.36000,2701,NGC 6440,18
267.21000,-37.37000,2702,ASCC 91,26.4
267.21000,-60.11000,2703,FSR 1721,20.4
267.25950,-28.74500,2705,Collinder 351,20.4
267.30000,-29.23500,2706,Ruprecht 131,19.8
267.32250,-51.54500,2707,FSR 1740,20.4
267.36750,-31.25000,2708,Dutra-Bica 51,6.6
267.37500,-34.82500,2709,NGC 6444,22.8
267.55500,-37.05100,2713,NGC 6441,15
267.67050,-30.20000,2718,NGC 6451,26.4
267.69300,-31.27500,2719,Terzan 6,13.8
267.71550,-34.59900,2722,NGC 6453,18
267.78000,-11.88000,2723,ASCC 92,27.6
267.81750,+11.16200,2724,FSR 0106,16.8
267.93750,-35.17500,2725,NGC 6455,27.6
268.12500,-30.10500,2727,Basel 5,24
268.09950,-28.65200,2728,Ruprecht 133,16.8
268.11000,-38.63500,2729,Sco OB5,37.2
268.17900,-29.55000,2730,Ruprecht 134,15
268.20750,-28.44000,2732,Ruprecht 168,9
268.20000,+04.16700,2733,NGC 6481,15
268.26000,-29.87300,2734,ESO 456-05,8.4
268.30500,-22.31500,2735,NGC 6469,28.2
268.32000,-27.36500,2737,Czernik 37,15
268.36200,-28.32000,2738,Dutra-Bica 28,7.8
268.44000,-34.78000,2739,NGC 6475,84
268.48500,-32.46500,2740,ESO 456-09,9.6
268.50000,-36.14500,2742,FSR 1776,12.6
268.64100,-30.44100,2746,NGC 6480,10.8
268.83150,-29.38800,2748,Dutra-Bica 13,11.4
268.85250,-29.04500,2749,Dutra-Bica 24,8.4
269.03250,-36.56500,2750,FSR 1775,12
269.10750,-23.19200,2751,FSR 0022,15
269.15850,+00.05800,2754,FSR 0080,18
269.22750,-35.27000,2755,Trumpler 30,22.8
269.23500,-28.62500,2756,Dutra-Bica 30,9.24
269.22750,-19.00000,2757,NGC 6494,66
269.40750,-22.86500,2758,FSR 0023,16.8
269.51400,-11.67700,2759,Ruprecht 135,9.6
269.66700,-32.01000,2761,ESO 456-29,10.2
269.66250,-05.07200,2762,Pfleiderer 2,10.8
269.76600,-44.26600,2764,NGC 6496,15
269.82450,-24.71000,2765,Ruprecht 136,13.8
269.91750,-51.69500,2767,ESO 229-02,16.8
269.93250,-28.20700,2769,Trumpler 31,19.8
269.95200,-17.41800,2770,NGC 6507,14.4
269.99100,-24.69800,2771,Ruprecht 138,13.2
269.97750,-25.21500,2772,Ruprecht 137,19.2
270.12000,+02.87500,2773,Collinder 359,96
270.19050,-24.07300,2774,BDSB 107,10.8
270.24750,-23.53500,2776,Ruprecht 139,18.6
270.39600,-24.83500,2777,BDSB 106,13.2
270.41100,-26.83300,2778,Terzan 9,9
270.45450,-27.81700,2779,Djorg 2,10.2
270.46050,-08.95900,2780,NGC 6517,19.2
270.49800,-23.70500,2781,Bochum 14,20.04
270.50550,-23.95300,2782,BDSB 109,9.6
270.51750,+11.01700,2784,NGC 6525,19.2
270.52200,-21.77500,2785,BDSB 111,12.84
270.57000,-21.91700,2786,ESO 589-26,13.8
270.58350,+16.77400,2787,FSR 0117,14.4
270.64500,-22.99500,2789,NGC 6514,31.8
270.86250,-27.89500,2790,NGC 6520,18.6
270.87150,-22.11700,2791,Teutsch 14a,19.2
270.89250,-30.03400,2792,NGC 6522,12
270.90150,-26.06700,2793,Terzan 10,9.6
270.96000,-00.29800,2795,NGC 6535,13.8
271.05000,-22.49000,2796,NGC 6531,22.8
271.07250,-20.17800,2797,FSR 0035,10.2
271.12500,-24.36000,2798,NGC 6530,24
271.15500,-58.52500,2799,ESO 139-54,13.8
